#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.01465         0.01465               0
               2         0.01195          0.0133     0.000954594
               3          0.0195       0.0153667      0.00180344
               4         0.01732        0.015855      0.00141716
               5         0.01615        0.015914      0.00113495
               6         0.01641       0.0159967     0.000948799
               7         0.01572       0.0159571     0.000814079
               8         0.00349       0.0143987      0.00162247
               9         0.01506       0.0144722      0.00144386
              10         0.00778        0.013803      0.00144627
              11         0.01135         0.01358      0.00133187
              12         0.00279       0.0126808      0.00149388
              13         0.00385       0.0120015      0.00152561
              14         0.01321       0.0120879      0.00141908
              15         0.01047         0.01198      0.00132857
              16           0.027       0.0129187      0.00154192
              17         0.01407       0.0129865      0.00145271
              18         0.01703       0.0132111      0.00138926
              19         0.00501       0.0127795      0.00138157
              20         0.02745        0.013513      0.00149459
              21         0.01375       0.0135243      0.00142346
              22         0.01372       0.0135332      0.00135879
              23         0.00733       0.0132635       0.0013262
              24         0.01323       0.0132621      0.00127095
              25         0.01238       0.0132268       0.0012206
              26         0.01721         0.01338      0.00118323
              27         0.01254       0.0133489      0.00113981
              28          0.0152        0.013415      0.00110102
              29         0.01832       0.0135841      0.00107597
              30         0.01322        0.013572      0.00104017
              31         0.01495       0.0136165      0.00100757
              32          0.0211       0.0138503      0.00100285
              33         0.01786       0.0139718     0.000979796
              34         0.00893       0.0138235     0.000962135
              35         0.01464       0.0138469     0.000934928
              36          0.0128       0.0138178      0.00090941
              37          0.0095       0.0137011     0.000892287
              38         0.00859       0.0135666     0.000878885
              39            0.02       0.0137315     0.000871692
              40         0.01127         0.01367      0.00085207
              41         0.01289        0.013651       0.0008315
              42        -0.00195       0.0132795     0.000890815
              43         0.00945       0.0131905     0.000874539
              44         0.01168       0.0131561     0.000855337
              45         0.01873         0.01328      0.00084525
              46         0.01643       0.0133485     0.000829644
              47         0.01231       0.0133264     0.000812287
              48         0.00763       0.0132077     0.000803986
              49         0.00844       0.0131104     0.000793444
              50          0.0144       0.0131362     0.000777994
              51         0.01649        0.013202     0.000765514
              52          0.0041       0.0130269     0.000770544
              53         0.01184       0.0130045     0.000756331
              54         0.01417       0.0130261     0.000742633
              55         0.00922       0.0129569     0.000732348
              56         0.01855       0.0130568     0.000726048
              57         0.01358        0.013066     0.000713369
              58         0.01764       0.0131448     0.000705415
              59         0.01117       0.0131114     0.000694252
              60         0.01754       0.0131852     0.000686594
              61         0.01605       0.0132321     0.000676943
              62         0.01345       0.0132356     0.000666033
              63         0.01354       0.0132405     0.000655479
              64         0.01221       0.0132244     0.000645435
              65         0.01666       0.0132772     0.000637666
              66          0.0149       0.0133018     0.000628478
              67         0.01132       0.0132722     0.000619793
              68         0.01948       0.0133635     0.000617365
              69         0.01711       0.0134178     0.000610801
              70         0.00266       0.0132641     0.000621108
              71         0.01344       0.0132666     0.000612365
              72         0.01308        0.013264     0.000603866
              73         0.01024       0.0132226     0.000597013
              74         0.00478       0.0131085     0.000599747
              75           0.017       0.0131604     0.000593991
              76         0.00982       0.0131164     0.000587799
              77         0.02012       0.0132074      0.00058716
              78         0.00696       0.0131273      0.00058507
              79         0.01125       0.0131035     0.000578146
              80         0.02475       0.0132491     0.000588964
              81         0.01406       0.0132591     0.000581777
              82         0.01921       0.0133317     0.000579191
              83           0.018        0.013388     0.000574937
              84         0.01089       0.0133582     0.000568861
              85         0.01778       0.0134102     0.000564543
              86         0.00581       0.0133219     0.000564853
              87         0.00822       0.0132632     0.000561396
              88          0.0166       0.0133011     0.000556296
              89         0.01592       0.0133306     0.000550823
              90         0.02637       0.0134754     0.000563435
              91         0.00318       0.0133623     0.000568489
              92         0.01856       0.0134188      0.00056511
              93         0.01006       0.0133827     0.000560186
              94         0.01733       0.0134247     0.000555798
              95         0.01843       0.0134774      0.00055244
              96        -0.00155       0.0133208      0.00056843
              97         0.01511       0.0133393     0.000562869
              98         0.02276       0.0134354     0.000565275
              99         0.01368       0.0134379      0.00055957
             100         0.00949       0.0133984     0.000555365
