#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        -0.99365        -0.99365               0
               2         0.67066       -0.161495        0.588422
               3         0.98885        0.221953        0.501903
               4         0.99849        0.416088        0.412266
               5         0.99355         0.53158        0.345612
               6         0.99593        0.608972        0.296548
               7         0.99388        0.663959        0.259232
               8         0.99801        0.705715        0.230166
               9         0.98652        0.736916        0.206696
              10         0.99405        0.762629        0.187619
              11         0.95824        0.780412        0.171404
              12         0.99881        0.798612        0.158083
              13         0.99603        0.813798        0.146651
              14         0.99844        0.826986        0.136767
              15         0.99993        0.838516        0.128135
              16         0.99923        0.848561        0.120519
              17         0.96905        0.855648        0.113638
              18         0.99973        0.863653        0.107606
              19         0.99986        0.870822        0.102181
              20         0.99957        0.877259       0.0972749
              21         0.99619        0.882922       0.0928075
              22         0.99955        0.888224       0.0887402
              23         0.97444        0.891972       0.0849611
              24         0.99991         0.89647         0.08154
              25         0.99946        0.900589       0.0783824
              26          0.9998        0.904405       0.0754605
              27         0.99939        0.907923       0.0727476
              28         0.99805        0.911142       0.0702207
              29         0.98826        0.913801       0.0678496
              30         0.97681        0.915901       0.0656205
              31          0.9991        0.918585       0.0635585
              32         0.99968        0.921119       0.0616228
              33         0.93326        0.921487       0.0597566
              34         0.99866        0.923757       0.0580421
              35         0.96969        0.925069       0.0563986
              36          0.9992        0.927129       0.0548696
              37          0.9594        0.928001       0.0533935
              38         0.99803        0.929844       0.0520202
              39         0.99993        0.931641       0.0507174
              40          0.9984         0.93331       0.0494769
              41         0.99571        0.934832       0.0482936
              42         0.98646        0.936061       0.0471594
              43         0.99787        0.937498       0.0460845
              44         0.99975        0.938913       0.0450589
              45          0.9962        0.940186       0.0440756
              46         0.99067        0.941284        0.043131
              47         0.99589        0.942446        0.042229
              48         0.99572        0.943555       0.0413638
              49         0.99985        0.944704       0.0405356
              50         0.99983        0.945807       0.0397399
              51         0.99971        0.946864       0.0389747
              52         0.99533        0.947796       0.0382364
              53         0.99983        0.948778       0.0375275
              54         0.99997        0.949726       0.0368445
              55         0.99829        0.950609       0.0361852
              56         0.99342        0.951373       0.0355471
              57         0.98346        0.951936        0.034928
              58         0.99929        0.952752       0.0343353
              59         0.99929        0.953541       0.0337624
              60         0.99096        0.954165       0.0332054
              61         0.99973        0.954912       0.0326695
              62         0.99946         0.95563       0.0321505
              63          0.9903        0.956181       0.0316449
              64         0.99915        0.956852       0.0311575
              65         0.99949        0.957508       0.0306851
              66         0.99936        0.958142       0.0302267
              67          0.9993        0.958756       0.0297818
              68         0.99918        0.959351       0.0293498
              69         0.98478        0.959719       0.0289267
              70         0.99907        0.960282       0.0285189
              71         0.99998        0.960841       0.0281228
              72         0.99602        0.961329       0.0277364
              73         0.99845        0.961838       0.0273611
              74         0.99934        0.962345       0.0269961
              75         0.99937        0.962838       0.0266406
              76         0.99381        0.963246       0.0262932
              77         0.52184        0.957513       0.0265693
              78          0.9975        0.958026       0.0262336
              79          0.9998        0.958555       0.0259069
              80         0.99745        0.959041       0.0255876
              81         0.99378         0.95947       0.0252753
              82          0.9993        0.959955       0.0249717
              83         0.49972         0.95441        0.025279
              84         0.99978        0.954951       0.0249838
              85         0.98939        0.955356       0.0246932
              86         0.99698         0.95584       0.0244108
              87         0.99117        0.956246       0.0241336
              88         0.99561        0.956693       0.0238635
              89         0.99949        0.957174       0.0236002
              90         0.99653        0.957611        0.023342
              91         0.99536        0.958026       0.0230892
              92         0.92756        0.957695       0.0228406
              93         0.99935        0.958143       0.0225994
              94         0.99948        0.958583       0.0223633
              95         0.99982        0.959017       0.0221321
              96         0.99991        0.959443       0.0219056
              97          0.9995        0.959856       0.0216837
              98         0.99986        0.960264       0.0214663
              99          0.9961        0.960626       0.0212525
             100         0.99968        0.961016       0.0210436
