#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.16598         0.16598               0
               2          0.2519         0.20894       0.0303773
               3         0.15325        0.190377       0.0252954
               4         0.23293        0.201015       0.0210903
               5         0.15937        0.192686       0.0184437
               6          0.1811        0.190755       0.0154705
               7         0.16831        0.187549       0.0135886
               8         0.17733        0.186271       0.0119499
               9         0.20417         0.18826       0.0107864
              10         0.24693        0.194127       0.0111902
              11         0.22951        0.197344       0.0106251
              12         0.16363        0.194534       0.0101043
              13         0.09691        0.187025       0.0117919
              14         0.24251        0.190988       0.0115966
              15         0.22778        0.193441       0.0110798
              16         0.12186        0.188967       0.0112544
              17         0.24031        0.191987       0.0109901
              18         0.13956        0.189074       0.0107586
              19         0.22901        0.191176       0.0103956
              20         0.21388        0.192311      0.00993764
              21         0.19534        0.192456      0.00946546
              22         0.20944        0.193228      0.00906664
              23         0.29799        0.197783      0.00974967
              24         0.18241        0.197142      0.00936445
              25         0.21761        0.197961      0.00902559
              26          0.1734        0.197016      0.00872775
              27         0.18453        0.196554      0.00841674
              28         0.18631        0.196188      0.00812409
              29         0.23308         0.19746      0.00794293
              30         0.24434        0.199023      0.00783037
              31         0.22576        0.199885      0.00762513
              32         0.23887        0.201103      0.00748354
              33         0.23559        0.202148      0.00732937
              34         0.22099        0.202703      0.00713472
              35         0.18231         0.20212      0.00695462
              36          0.1496        0.200661      0.00691276
              37         0.10414        0.198052      0.00720135
              38         0.21671        0.198543      0.00702855
              39         0.16688        0.197732      0.00689507
              40         0.21629        0.198196      0.00673828
              41         0.23811        0.199169      0.00664389
              42         0.20807        0.199381      0.00648908
              43         0.15719          0.1984      0.00641192
              44         0.26612        0.199939      0.00644827
              45         0.19769        0.199889      0.00630517
              46         0.20064        0.199905      0.00616812
              47         0.07604         0.19727      0.00657584
              48         0.16039        0.196501      0.00648358
              49         0.24679        0.197528      0.00643197
              50         0.17156        0.197008      0.00632427
              51         0.31294        0.199282      0.00659615
              52           0.202        0.199334      0.00646951
              53         0.22837        0.199882       0.0063706
              54         0.23255        0.200487      0.00628128
              55         0.16266        0.199799      0.00620461
              56         0.23823        0.200485      0.00613165
              57         0.24581         0.20128      0.00607542
              58         0.20855        0.201406      0.00597197
              59         0.23012        0.201892      0.00589054
              60         0.20229        0.201899      0.00579237
              61         0.12164        0.200583      0.00584494
              62         0.16167        0.199956      0.00578426
              63         0.18936        0.199787      0.00569489
              64         0.23936        0.200406      0.00563938
              65         0.22838        0.200836      0.00556902
              66         0.24594         0.20152      0.00552641
              67         0.21294         0.20169      0.00544655
              68         0.19917        0.201653      0.00536658
              69         0.18477        0.201408      0.00529438
              70         0.11832        0.200221      0.00535015
              71         0.21873        0.200482      0.00528114
              72         0.19544        0.200412      0.00520826
              73         0.19921        0.200395      0.00513694
              74         0.17096        0.199998       0.0050829
              75         0.20532        0.200069      0.00501562
              76         0.12976        0.199144      0.00503422
              77         0.20404        0.199207      0.00496924
              78         0.20677        0.199304      0.00490648
              79         0.25788        0.200046      0.00490008
              80          0.2608        0.200805      0.00489732
              81         0.12089        0.199818      0.00493524
              82         0.24947        0.200424      0.00491206
              83         0.17952        0.200172      0.00485933
              84         0.22064        0.200416      0.00480759
              85         0.19479         0.20035      0.00475148
              86         0.15123        0.199778      0.00473044
              87         0.16678        0.199399      0.00469124
              88         0.22313        0.199669      0.00464568
              89         0.25289        0.200267      0.00463181
              90         0.19218        0.200177      0.00458121
              91          0.2807        0.201062      0.00461554
              92          0.1121        0.200095      0.00466556
              93         0.18903        0.199976      0.00461691
              94         0.21966        0.200185      0.00457254
              95         0.14728        0.199628       0.0045582
              96         0.22479         0.19989      0.00451824
              97         0.23333        0.200235       0.0044848
              98         0.23851        0.200626      0.00445601
              99         0.19364        0.200555      0.00441156
             100         0.22027        0.200752      0.00437184
