#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.01801         0.01801               0
               2         0.02466        0.021335      0.00235113
               3         0.01561       0.0194267      0.00221012
               4         0.02289       0.0202925       0.0018193
               5         0.02927        0.022088      0.00216734
               6         0.03685       0.0245483      0.00288209
               7         0.02379         0.02444       0.0024724
               8         0.01073       0.0227262      0.00269256
               9         0.01954       0.0223722      0.00241655
              10         0.00791        0.020926      0.00257149
              11         0.01668         0.02054      0.00236651
              12         0.02066         0.02055      0.00216933
              13         0.01554       0.0201646       0.0020364
              14         0.01824       0.0200271      0.00189558
              15         0.02295        0.020222      0.00177919
              16         0.02943       0.0207975      0.00175861
              17         0.02216       0.0208776      0.00165698
              18         0.02662       0.0211967      0.00159534
              19         0.02223       0.0212511      0.00151231
              20         0.02704       0.0215405      0.00146413
              21         0.02774       0.0218357      0.00142386
              22         0.02854       0.0221405      0.00139137
              23         0.02856       0.0224196      0.00135858
              24          0.0262       0.0225771      0.00131107
              25         0.01901       0.0224344      0.00126637
              26         0.01927       0.0223127       0.0012235
              27          0.0189       0.0221863      0.00118469
              28         0.01069       0.0217757      0.00121144
              29         0.03491       0.0222286      0.00125147
              30         0.02495       0.0223193      0.00121304
              31         0.04195       0.0229526      0.00132896
              32         0.01903         0.02283      0.00129307
              33         0.01648       0.0226376      0.00126812
              34         0.02202       0.0226194      0.00123095
              35         0.01809         0.02249      0.00120257
              36         0.02594       0.0225858      0.00117297
              37         0.02632       0.0226868      0.00114561
              38         0.02958       0.0228682      0.00112973
              39         0.01755       0.0227318      0.00110896
              40         0.03182        0.022959      0.00110427
              41         0.02643       0.0230437      0.00108057
              42         0.01567       0.0228681      0.00106901
              43         0.03065       0.0230491      0.00105936
              44         0.02197       0.0230245      0.00103557
              45         0.02603       0.0230913      0.00101471
              46         0.02712       0.0231789     0.000996419
              47         0.02423       0.0232013      0.00097547
              48         0.02312       0.0231996     0.000955149
              49          0.0233       0.0232016     0.000935658
              50         0.00653       0.0228682     0.000974547
              51         0.02728       0.0229547      0.00095927
              52          0.0233       0.0229613     0.000940846
              53          0.0166       0.0228413     0.000930718
              54         0.02818       0.0229402     0.000918719
              55         0.02948       0.0230591     0.000909677
              56         0.02434        0.023082      0.00089372
              57         0.01989        0.023026     0.000879793
              58         0.02841       0.0231188     0.000869508
              59         0.02751       0.0231932      0.00085795
              60         0.01213       0.0230088     0.000863237
              61         0.00908       0.0227805     0.000878767
              62         0.02429       0.0228048     0.000864931
              63         0.01448       0.0226727     0.000861237
              64         0.01346       0.0225287     0.000859725
              65         0.02187       0.0225186     0.000846559
              66         0.02527       0.0225603     0.000834758
              67         0.02033        0.022527     0.000822962
              68         0.02738       0.0225984     0.000813948
              69         0.02673       0.0226583     0.000804352
              70         0.01748       0.0225843     0.000796255
              71         0.02696       0.0226459     0.000787422
              72         0.02511       0.0226801     0.000777229
              73         0.02783       0.0227507     0.000769777
              74          0.0371       0.0229446     0.000783417
              75         0.02405       0.0229593      0.00077311
              76          0.0188       0.0229046     0.000764872
              77          0.0266       0.0229526     0.000756443
              78         0.02649       0.0229979     0.000748103
              79         0.01748       0.0229281     0.000741887
              80          0.0279       0.0229902     0.000735212
              81         0.02988       0.0230753     0.000731039
              82         0.03461        0.023216     0.000735533
              83         0.02303       0.0232137     0.000726675
              84         0.02975       0.0232915     0.000722178
              85         0.02493       0.0233108     0.000713939
              86         0.03127       0.0234034     0.000711611
              87         0.02972        0.023476     0.000707125
              88         0.03301       0.0235843     0.000707341
              89          0.0202       0.0235463     0.000700414
              90         0.02648       0.0235789      0.00069339
              91           0.014       0.0234736     0.000693714
              92         0.01881       0.0234229     0.000688024
              93         0.02897       0.0234826     0.000683206
              94         0.02255       0.0234727      0.00067601
              95         0.04282       0.0236763     0.000698898
              96         0.02747       0.0237158     0.000692734
              97         0.00698       0.0235433     0.000706752
              98          0.0258       0.0235663     0.000699915
              99         0.01248       0.0234543     0.000701747
             100         0.02843       0.0235041     0.000696491
