#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.06503         0.06503               0
               2         0.04409         0.05456      0.00740341
               3         0.09909       0.0694033        0.013086
               4           0.075       0.0708025      0.00988901
               5         0.08849         0.07434      0.00852047
               6           0.065       0.0727833      0.00724119
               7         0.07315       0.0728357      0.00620693
               8         0.07636       0.0732763      0.00544667
               9         0.08329       0.0743889      0.00495383
              10         0.07501        0.074451      0.00445883
              11         0.01753       0.0692764       0.0063854
              12         0.08537       0.0706175      0.00599247
              13         0.05327       0.0692831      0.00567814
              14         0.04112       0.0672714      0.00561761
              15         0.08078        0.068172       0.0053148
              16         0.09097       0.0695969       0.0051701
              17         0.05772       0.0688982      0.00491296
              18         0.05331       0.0680322      0.00471572
              19         0.06534       0.0678905      0.00446965
              20         0.06292        0.067642      0.00425308
              21           0.077       0.0680876      0.00407383
              22         0.10572       0.0697982      0.00423257
              23         0.04896       0.0688922      0.00414438
              24         0.04525       0.0679071      0.00408709
              25         0.08751       0.0686912      0.00399812
              26         0.08185       0.0691973      0.00387625
              27         0.09868       0.0702893      0.00388344
              28         0.08519       0.0708214      0.00378103
              29         0.05623       0.0703183      0.00368398
              30         0.08147         0.07069      0.00357988
              31         0.08536       0.0711632      0.00349554
              32         0.07613       0.0713184      0.00338975
              33         0.05886       0.0709409      0.00330799
              34         0.09608       0.0716803      0.00329229
              35         0.03543       0.0706446      0.00335719
              36          0.0363       0.0696906      0.00339678
              37         0.07666       0.0698789      0.00331019
              38         0.04744       0.0692884      0.00327533
              39          0.0772       0.0694913      0.00319762
              40         0.08191       0.0698017      0.00313272
              41          0.0592       0.0695432      0.00306696
              42         0.06551       0.0694471      0.00299544
              43          0.0896       0.0699158      0.00296222
              44         0.06479       0.0697993      0.00289719
              45         0.09319       0.0703191      0.00287906
              46         0.04765       0.0698263      0.00285833
              47         0.07414       0.0699181      0.00279899
              48          0.0788       0.0701031      0.00274679
              49         0.08027       0.0703106      0.00269856
              50         0.08937       0.0706918      0.00267137
              51         0.05971       0.0704765      0.00262766
              52         0.07223       0.0705102      0.00257734
              53         0.07193        0.070537      0.00252885
              54         0.05724       0.0702907      0.00249398
              55         0.07094       0.0703025      0.00244866
              56         0.08015       0.0704784      0.00241124
              57         0.04105       0.0699621      0.00242358
              58         0.04967       0.0696122      0.00240692
              59         0.06401       0.0695173      0.00236799
              60         0.06032        0.069364      0.00233348
              61         0.07085       0.0693884      0.00229536
              62         0.07257       0.0694397      0.00225891
              63         0.04657       0.0690767      0.00225203
              64          0.0835        0.069302      0.00222809
              65          0.0745        0.069382      0.00219525
              66         0.09227       0.0697288      0.00218921
              67         0.06403       0.0696437      0.00215818
              68         0.08972        0.069939      0.00214655
              69         0.09737       0.0703365      0.00215194
              70         0.08103       0.0704893      0.00212661
              71         0.05296       0.0702424      0.00211094
              72         0.09292       0.0705574      0.00210499
              73         0.07183       0.0705748      0.00207622
              74         0.05835       0.0704096      0.00205473
              75         0.08156       0.0705583       0.0020327
              76         0.07411        0.070605       0.0020065
              77         0.07814       0.0707029      0.00198282
              78         0.05892       0.0705518      0.00196315
              79         0.06502       0.0704818      0.00193955
              80         0.07047       0.0704816       0.0019153
              81          0.0674       0.0704436      0.00189203
              82         0.06318        0.070355      0.00187103
              83         0.06684       0.0703127      0.00184897
              84         0.06289       0.0702243      0.00182907
              85         0.08532       0.0704019      0.00181615
              86         0.05575       0.0702315      0.00180301
              87         0.07395       0.0702743      0.00178279
              88          0.0674       0.0702416      0.00176283
              89         0.04766       0.0699879      0.00176119
              90         0.07131       0.0700026      0.00174168
              91         0.08848       0.0702056      0.00173433
              92         0.09252       0.0704482      0.00173236
              93          0.0814       0.0705659      0.00171773
              94         0.05064       0.0703539      0.00171249
              95         0.06363       0.0702832      0.00169592
              96         0.06295       0.0702068      0.00167998
              97         0.07266       0.0702321      0.00166285
              98         0.08993       0.0704331      0.00165798
              99         0.05561       0.0702833      0.00164798
             100          0.0599       0.0701795      0.00163477
