#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0074704   0.0074704           0
           2  0.00747099  0.00747069 2.07713e-07
           3  0.00742396  0.00745511 1.27211e-05
           4  0.00755854  0.00748097 2.43399e-05
           5  0.00692195  0.00736917 0.000101878
           6  0.00730263  0.00735808 8.54996e-05
           7  0.00720914   0.0073368 7.58864e-05
           8    0.007419  0.00734708 6.70926e-05
           9  0.00746889  0.00736061 6.09878e-05
          10  0.00758778  0.00738333 5.89682e-05
          11  0.00709532  0.00735715  5.9135e-05
          12  0.00777214  0.00739173 6.35195e-05
          13  0.00742035  0.00739393 5.86715e-05
          14  0.00734173   0.0073902  5.4599e-05
          15   0.0072744  0.00738248  5.1502e-05
          16  0.00759256  0.00739561 4.99287e-05
          17  0.00738775  0.00739515 4.69939e-05
          18  0.00753666  0.00740301 4.50359e-05
          19  0.00742936   0.0074044 4.26869e-05
          20    0.007559  0.00741213 4.12465e-05
          21   0.0074031   0.0074117 3.92847e-05
          22  0.00748035  0.00741482 3.76227e-05
          23  0.00780197  0.00743165 3.95738e-05
          24  0.00698386  0.00741299 4.20942e-05
          25  0.00772108  0.00742532 4.21757e-05
          26  0.00733026  0.00742166 4.07117e-05
          27  0.00767469  0.00743103  4.0268e-05
          28  0.00804529  0.00745297 4.44055e-05
          29  0.00753687  0.00745586 4.29684e-05
          30  0.00739646  0.00745388 4.15817e-05
          31  0.00748975  0.00745504 4.02565e-05
          32  0.00717488  0.00744628 3.99391e-05
          33  0.00760026  0.00745095 3.90005e-05
          34  0.00728467  0.00744606 3.81588e-05
          35  0.00736133  0.00744364 3.71453e-05
          36  0.00703222  0.00743221 3.78307e-05
          37   0.0072067  0.00742611  3.7296e-05
          38  0.00747233  0.00742733 3.63343e-05
          39  0.00811017  0.00744484  3.9396e-05
          40  0.00753429  0.00744708 3.84745e-05
          41  0.00700633  0.00743633  3.9009e-05
          42  0.00753398  0.00743865 3.81494e-05
          43  0.00770773  0.00744491 3.77719e-05
          44  0.00786973  0.00745456 3.81275e-05
          45  0.00739388  0.00745322 3.73041e-05
          46  0.00753918  0.00745508 3.65399e-05
          47  0.00699089  0.00744521 3.70732e-05
          48  0.00749278   0.0074462 3.63141e-05
          49  0.00707973  0.00743872  3.6335e-05
          50  0.00788555  0.00744766 3.66908e-05
          51  0.00760867  0.00745081  3.6107e-05
          52  0.00730546  0.00744802 3.55206e-05
          53  0.00704883  0.00744049   3.564e-05
          54  0.00769987  0.00744529 3.53022e-05
          55  0.00733975  0.00744337 3.47125e-05
          56  0.00737715  0.00744219 3.41128e-05
          57  0.00711768   0.0074365  3.3986e-05
          58  0.00708725  0.00743047 3.39293e-05
          59  0.00699949  0.00742317 3.41315e-05
          60  0.00716114   0.0074188 3.38409e-05
          61  0.00742409  0.00741889 3.32862e-05
          62  0.00728492  0.00741673 3.28194e-05
          63  0.00712724  0.00741213 3.26186e-05
          64  0.00734238  0.00741104 3.21271e-05
          65  0.00802553   0.0074205 3.29944e-05
          66  0.00796017  0.00742867 3.34924e-05
          67  0.00757355  0.00743084 3.30623e-05
          68  0.00736555  0.00742988   3.259e-05
          69  0.00743763  0.00742999 3.21179e-05
          70  0.00711218  0.00742545 3.19783e-05
          71  0.00798882  0.00743338 3.24974e-05
          72  0.00739726  0.00743288   3.205e-05
          73  0.00734371  0.00743166 3.16342e-05
          74  0.00749793  0.00743255 3.12194e-05
          75  0.00712997  0.00742852 3.10627e-05
          76  0.00709277   0.0074241 3.09665e-05
          77  0.00766627  0.00742725 3.07237e-05
          78  0.00760945  0.00742958 3.04185e-05
          79  0.00713556  0.00742586 3.02602e-05
          80  0.00745283   0.0074262 2.98839e-05
          81  0.00732574  0.00742496 2.95407e-05
          82  0.00701818     0.00742  2.9594e-05
          83  0.00778878  0.00742444 2.95691e-05
          84  0.00739409  0.00742408 2.92193e-05
          85  0.00758363  0.00742596 2.89358e-05
          86  0.00739079  0.00742555 2.86022e-05
          87  0.00690086  0.00741952 2.89023e-05
          88  0.00752085  0.00742067 2.85968e-05
          89  0.00738892  0.00742031 2.82777e-05
          90  0.00757791  0.00742206 2.80176e-05
          91  0.00730998  0.00742083 2.77368e-05
          92  0.00766149  0.00742345 2.75584e-05
          93  0.00739946  0.00742319 2.72633e-05
          94  0.00776214   0.0074268 2.72107e-05
          95  0.00739764  0.00742649  2.6926e-05
          96  0.00713348  0.00742344 2.68179e-05
          97  0.00731989  0.00742237 2.65627e-05
          98  0.00757391  0.00742391 2.63366e-05
          99  0.00739859  0.00742366 2.60718e-05
         100  0.00761759   0.0074256 2.58831e-05
