#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00459312  0.00459312           0
           2  0.00474931  0.00467122 5.52204e-05
           3  0.00477564  0.00470603  4.6508e-05
           4   0.0046324  0.00468762 3.83512e-05
           5  0.00480611  0.00471132 3.72909e-05
           6  0.00466544  0.00470367 3.18499e-05
           7  0.00462442  0.00469235 2.92432e-05
           8  0.00465271   0.0046874 2.60041e-05
           9   0.0046617  0.00468454  2.3271e-05
          10  0.00457127  0.00467321 2.35398e-05
          11   0.0045581  0.00466275 2.36115e-05
          12  0.00463821   0.0046607 2.17323e-05
          13  0.00468121  0.00466228 2.01177e-05
          14  0.00462022  0.00465928 1.89037e-05
          15   0.0044394  0.00464462 2.26238e-05
          16  0.00448512  0.00463465 2.33027e-05
          17  0.00456543  0.00463058 2.22848e-05
          18  0.00430907  0.00461272 2.72816e-05
          19  0.00454214    0.004609 2.60974e-05
          20  0.00460884  0.00460899 2.47925e-05
          21  0.00465584  0.00461122 2.37121e-05
          22  0.00444882  0.00460384 2.37555e-05
          23   0.0044637  0.00459775 2.34911e-05
          24  0.00448611   0.0045931 2.29683e-05
          25   0.0044821  0.00458866 2.24746e-05
          26  0.00444828  0.00458326 2.22493e-05
          27  0.00448886  0.00457976 2.16981e-05
          28   0.0046138  0.00458098 2.09572e-05
          29  0.00467316  0.00458416 2.04742e-05
          30  0.00465207  0.00458642 1.99165e-05
          31  0.00468547  0.00458962 1.95287e-05
          32  0.00470874  0.00459334 1.92699e-05
          33  0.00479275  0.00459938 1.96105e-05
          34  0.00445573  0.00459516 1.94836e-05
          35  0.00429084  0.00458646 2.07766e-05
          36   0.0044491  0.00458265 2.05468e-05
          37  0.00464246  0.00458426  2.0055e-05
          38  0.00472645    0.004588 1.98733e-05
          39  0.00474033  0.00459191 1.97438e-05
          40  0.00482305  0.00459769  2.0078e-05
          41   0.0047775  0.00460207 2.00615e-05
          42   0.0045034  0.00459972  1.9721e-05
          43  0.00477516   0.0046038 1.96798e-05
          44  0.00460726  0.00460388 1.92327e-05
          45  0.00464225  0.00460474 1.88242e-05
          46  0.00458032   0.0046042 1.84225e-05
          47  0.00445726  0.00460108 1.82939e-05
          48  0.00475503  0.00460429 1.81918e-05
          49   0.0046127  0.00460446 1.78213e-05
          50  0.00458097  0.00460399 1.74711e-05
          51  0.00458062  0.00460353 1.71345e-05
          52   0.0046552  0.00460452 1.68338e-05
          53  0.00453259  0.00460317 1.65708e-05
          54  0.00445163  0.00460036 1.64998e-05
          55  0.00469373  0.00460206 1.62869e-05
          56  0.00454395  0.00460102 1.60291e-05
          57   0.0046896  0.00460257 1.58231e-05
          58  0.00473923  0.00460493 1.57247e-05
          59  0.00472855  0.00460702 1.55971e-05
          60  0.00454474  0.00460599 1.53717e-05
          61  0.00454669  0.00460501 1.51504e-05
          62  0.00462101  0.00460527 1.49082e-05
          63  0.00468526  0.00460654 1.47256e-05
          64  0.00450538  0.00460496 1.45801e-05
          65   0.0046761  0.00460606 1.43968e-05
          66  0.00476195  0.00460842 1.43711e-05
          67  0.00461341  0.00460849 1.41568e-05
          68  0.00449019  0.00460675 1.40551e-05
          69  0.00439233  0.00460365 1.41908e-05
          70  0.00450907  0.00460229 1.40522e-05
          71  0.00451653  0.00460109 1.39061e-05
          72  0.00469519  0.00460239 1.37743e-05
          73   0.0044116  0.00459978 1.38313e-05
          74  0.00484493  0.00460309 1.40355e-05
          75  0.00466073  0.00460386 1.38694e-05
          76  0.00476317  0.00460596 1.38444e-05
          77  0.00444696  0.00460389 1.38177e-05
          78  0.00472652  0.00460546 1.37297e-05
          79  0.00445927  0.00460361 1.36801e-05
          80  0.00474715  0.00460541 1.36263e-05
          81  0.00462491  0.00460565 1.34602e-05
          82  0.00451294  0.00460452 1.33434e-05
          83  0.00466237  0.00460522 1.32008e-05
          84  0.00448294  0.00460376 1.31237e-05
          85   0.0046428  0.00460422 1.29773e-05
          86  0.00455782  0.00460368 1.28377e-05
          87  0.00467955  0.00460455 1.27197e-05
          88  0.00468933  0.00460551 1.26116e-05
          89  0.00459863  0.00460544 1.24701e-05
          90  0.00451153  0.00460439 1.23751e-05
          91  0.00463771  0.00460476 1.22445e-05
          92   0.0046701  0.00460547  1.2132e-05
          93  0.00467045  0.00460617 1.20217e-05
          94  0.00462705  0.00460639 1.18959e-05
          95  0.00463738  0.00460672 1.17751e-05
          96  0.00458765  0.00460652 1.16541e-05
          97  0.00471518  0.00460764 1.15877e-05
          98  0.00452213  0.00460677 1.15023e-05
          99  0.00455642  0.00460626 1.13973e-05
         100  0.00444138  0.00460461  1.1402e-05
