#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           7     1.29636    0.375685   0.0396507
           7     1.53206    0.453828   0.0411733
           7     1.76777    0.610582   0.0239882
           7     2.00347    0.533979   0.0376823
           7     2.23917    0.628431   0.0351338
           7     2.47487    0.475615   0.0464424
           7     2.71058    0.477941   0.0413363
           7     2.94628    0.433862   0.0378717
           7     3.18198     0.36336   0.0157528
           7     3.41768    0.248864    0.031826
           7     3.65339    0.243215     0.02652
           7     3.88909    0.188539   0.0229501
           7     4.12479    0.131411   0.0218647
           7     4.36049   0.0619359   0.0110246
           7     4.59619   0.0564037   0.0168275
           7      4.8319   0.0451292   0.0121887
           7      5.0676   0.0099362  0.00446356
           7      5.3033  0.00957049  0.00659314
           7       5.539  0.00782758  0.00719663
           7     5.77471           0           0
           7     6.01041           0           0
           7     6.24611           0           0
           7     6.48181           0           0
           7     6.71751           0           0
           7     6.95322           0           0
           8    0.117851  0.00613426  0.00365775
           8    0.353553   0.0430692   0.0123305
           8    0.589256    0.118212   0.0172913
           8    0.824958    0.192654    0.025969
           8     1.06066    0.206127   0.0192105
           8     1.29636    0.372862   0.0347947
           8     1.53206    0.456658   0.0361238
           8     1.76777    0.587269   0.0302679
           8     2.00347    0.555236   0.0385034
           8     2.23917    0.600361   0.0404294
           8     2.47487     0.46425   0.0420046
           8     2.71058     0.47886   0.0361795
           8     2.94628    0.427022   0.0337499
           8     3.18198     0.36538   0.0139126
           8     3.41768    0.253629   0.0282022
           8     3.65339    0.236758   0.0239782
           8     3.88909    0.181148   0.0212381
           8     4.12479    0.132087   0.0191421
           8     4.36049   0.0673815   0.0109089
           8     4.59619   0.0541462   0.0148747
           8      4.8319   0.0471405   0.0108298
           8      5.0676    0.011649  0.00422146
           8      5.3033   0.0172658  0.00922479
           8       5.539  0.00705338  0.00633856
           8     5.77471           0           0
           8     6.01041           0           0
           8     6.24611           0           0
           8     6.48181           0           0
           8     6.71751           0           0
           8     6.95322           0           0
           9    0.117851  0.00561607  0.00328783
           9    0.353553   0.0486565   0.0121606
           9    0.589256    0.114893   0.0156853
           9    0.824958    0.211335   0.0290355
           9     1.06066    0.210088   0.0174796
           9     1.29636     0.38967   0.0347517
           9     1.53206    0.460391   0.0323023
           9     1.76777    0.572137   0.0304529
           9     2.00347    0.569765   0.0368649
           9     2.23917    0.589458   0.0373785
           9     2.47487    0.453407   0.0387116
           9     2.71058    0.454956   0.0392701
           9     2.94628    0.424074   0.0301284
           9     3.18198    0.363417   0.0125045
