#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.22402         0.22402               0
               2         0.13938          0.1817       0.0299248
               3         0.12794         0.16378       0.0247403
               4         0.12998         0.15533       0.0199461
               5         0.15349        0.154962       0.0159603
               6         0.14629        0.153517       0.0133655
               7         0.12877        0.149981       0.0119145
               8         0.18206        0.153991       0.0110794
               9         0.12534        0.150808       0.0102956
              10         0.20689        0.156416       0.0106849
              11         0.20358        0.160704       0.0105387
              12         0.18033        0.162339      0.00978659
              13         0.15351         0.16166      0.00905731
              14         0.19798        0.164254      0.00877404
              15         0.11221        0.160785      0.00884857
              16         0.11879         0.15816      0.00867607
              17         0.09458         0.15442      0.00893553
              18         0.16283        0.154887      0.00845131
              19         0.11606        0.152844      0.00824987
              20         0.08562        0.149482      0.00849454
              21         0.14592        0.149313      0.00809173
              22         0.13311        0.148576      0.00775737
              23          0.1655        0.149312      0.00745491
              24         0.16258        0.149865      0.00716476
              25         0.01858        0.144614      0.00858972
              26         0.11765        0.143577      0.00832171
              27         0.18629        0.145159      0.00816249
              28         0.19282        0.146861       0.0080465
              29         0.15969        0.147303      0.00778119
              30          0.1578        0.147653      0.00752968
              31         0.08337        0.145579      0.00756693
              32         0.18729        0.146883      0.00744189
              33         0.15011        0.146981      0.00721702
              34         0.05335        0.144227       0.0075118
              35         0.18352        0.145349      0.00738059
              36         0.18055        0.146327      0.00724006
              37         0.21692        0.148235      0.00729144
              38         0.17313         0.14889      0.00712893
              39          0.2155        0.150598       0.0071478
              40          0.1899        0.151581      0.00703631
              41          0.1834        0.152357      0.00690736
              42         0.08965        0.150864      0.00690237
              43         0.18697        0.151703      0.00679273
              44         0.16951        0.152108       0.0066504
              45         0.09634        0.150869      0.00661707
              46         0.15475        0.150953      0.00647376
              47         0.10234        0.149919      0.00641812
              48          0.1509        0.149939      0.00628444
              49         0.16364        0.150219       0.0061624
              50         0.14227         0.15006      0.00604121
              51         0.17384        0.150526      0.00594072
              52         0.14238         0.15037      0.00582854
              53         0.18378           0.151      0.00575255
              54         0.10016        0.150059      0.00572255
              55         0.07317        0.148661      0.00578674
              56         0.09257        0.147659      0.00576944
              57         0.20179        0.148609      0.00574585
              58         0.12315         0.14817      0.00566352
              59         0.20877        0.149197       0.0056599
              60         0.15208        0.149245      0.00556578
              61          0.1675        0.149544      0.00548257
              62         0.17458        0.149948        0.005409
              63         0.12299         0.14952      0.00534004
              64         0.14673        0.149476      0.00525678
              65         0.21786        0.150528      0.00528013
              66         0.19797        0.151247      0.00524883
              67          0.1908        0.151838      0.00520358
              68         0.21177        0.152719      0.00520116
              69         0.09971        0.151951      0.00518221
              70         0.11309        0.151396      0.00513783
              71         0.18874        0.151922      0.00509231
              72          0.2072        0.152689      0.00507913
              73         0.10425        0.152026      0.00505272
              74         0.11786        0.151564      0.00500549
              75         0.08343        0.150656      0.00502051
              76         0.16901        0.150897      0.00496025
              77         0.13087        0.150637      0.00490265
              78         0.14062        0.150509      0.00484148
              79          0.1144        0.150052      0.00480172
              80         0.12684        0.149761      0.00475045
              81         0.10403        0.149197      0.00472524
              82         0.13184        0.148985      0.00467235
              83         0.13538        0.148821      0.00461893
              84         0.14121        0.148731      0.00456483
              85         0.12246        0.148422      0.00452158
              86         0.10246        0.147887      0.00450048
              87         0.19156        0.148389      0.00447666
              88         0.21954        0.149198      0.00449821
              89         0.11407        0.148803      0.00446495
              90         0.07491        0.147982      0.00449019
              91         0.18597        0.148399      0.00446021
              92         0.16596         0.14859      0.00441581
              93         0.10139        0.148083       0.0043974
              94         0.14266        0.148025        0.004351
              95         0.07335        0.147239      0.00437563
              96         0.12529         0.14701      0.00433602
              97         0.21008        0.147661      0.00433979
              98          0.1259        0.147438      0.00430118
              99         0.12429        0.147205      0.00426409
             100         0.08772         0.14661      0.00426274
