#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.76718         0.76718               0
               2         0.95525        0.861215       0.0664928
               3         0.88451         0.86898       0.0447796
               4         0.86302         0.86749       0.0336095
               5         0.86752        0.867496       0.0268876
               6         0.92949        0.877828       0.0243107
               7         0.96326        0.890033        0.023704
               8         0.92918        0.894926       0.0212401
               9         0.90231        0.895747       0.0188959
              10          0.9158        0.897752       0.0171124
              11         0.97194        0.904496       0.0168334
              12         0.95121        0.908389       0.0158744
              13         0.93255        0.910248       0.0147617
              14         0.96223        0.913961       0.0141665
              15         0.92755        0.914867        0.013251
              16         0.96694        0.918121       0.0128163
              17         0.91748        0.918084       0.0120624
              18         0.87255        0.915554       0.0116545
              19         0.96567        0.918192       0.0113357
              20         0.97746        0.921155       0.0111495
              21         0.96358        0.923175       0.0108001
              22         0.91562        0.922832       0.0103146
              23         0.82719        0.918673       0.0106715
              24          0.8676        0.916545       0.0104369
              25         0.89701        0.915764       0.0100486
              26         0.91877         0.91588      0.00966281
              27         0.93014        0.916408      0.00931935
              28         0.92265        0.916631      0.00898919
              29          0.9545        0.917937      0.00877355
              30         0.60434        0.907483        0.013325
              31         0.95605         0.90905        0.012987
              32         0.97305         0.91105       0.0127342
              33          0.9623        0.912603       0.0124426
              34         0.89174        0.911989       0.0120918
              35         0.97132        0.913685       0.0118646
              36         0.93391        0.914246       0.0115483
              37         0.86836        0.913006       0.0113026
              38         0.93349        0.913545        0.011018
              39         0.94813        0.914432       0.0107711
              40        -0.01448        0.891209       0.0252211
              41         0.84445        0.890069       0.0246317
              42           0.979        0.892186       0.0241361
              43         0.96735        0.893934        0.023638
              44          0.8694        0.893377       0.0231073
              45         0.96933        0.895064       0.0226554
              46         0.99676        0.897275       0.0222705
              47         0.88064        0.896921       0.0217995
              48         0.93091        0.897629       0.0213568
              49         0.92138        0.898114       0.0209265
              50         0.90637        0.898279       0.0205086
              51         0.75826        0.895534       0.0202894
              52         0.91688        0.895944       0.0199034
              53         0.97474        0.897431       0.0195833
              54          0.9558        0.898512       0.0192504
              55         0.88958        0.898349       0.0189011
              56         0.94524        0.899187       0.0185821
              57         0.94958        0.900071       0.0182771
              58         0.94957        0.900924       0.0179819
              59          0.9221        0.901283       0.0176807
              60         0.98171        0.902624       0.0174368
              61         0.90251        0.902622        0.017151
              62         0.98706        0.903984       0.0169283
              63         0.96855        0.905009       0.0166906
              64          0.9137        0.905144       0.0164304
              65         0.94598        0.905773       0.0161896
              66         0.95088        0.906456       0.0159587
              67         0.97159        0.907428       0.0157501
              68         0.86934        0.906868       0.0155284
              69         0.98304        0.907972       0.0153426
              70         0.92493        0.908214       0.0151253
              71         0.89465        0.908023       0.0149135
              72         0.95135        0.908625       0.0147185
              73         0.78232        0.906895       0.0146182
              74         0.76557        0.904985       0.0145449
              75         0.93419        0.905374       0.0143562
              76         0.93931        0.905821       0.0141742
              77         0.95825        0.906502       0.0140065
              78          0.9635        0.907233        0.013846
              79         0.95353        0.907819       0.0136831
              80         0.91957        0.907966       0.0135128
              81         0.94642         0.90844       0.0133543
              82         0.95474        0.909005       0.0132034
              83         0.93623        0.909333       0.0130484
              84         0.87534        0.908928       0.0128994
              85         0.79314        0.907566       0.0128193
              86         0.89787        0.907453       0.0126708
              87         0.99239         0.90843       0.0125627
              88         0.93709        0.908755       0.0124241
              89         0.56307        0.904871       0.0128774
              90         0.56928        0.901142       0.0132632
              91         0.92008         0.90135        0.013119
              92         0.96815        0.902077       0.0129965
              93         0.62223        0.899067       0.0132005
              94         0.98623        0.899995       0.0130926
              95         0.95589        0.900583        0.012968
              96         0.94214        0.901016       0.0128402
              97         0.82159        0.900197       0.0127339
              98         0.92202         0.90042       0.0126059
              99         0.85456        0.899957       0.0124871
             100         0.97923        0.900749       0.0123873
