#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           7   0.0848528   0.0282143  0.00760277
           7    0.254558    0.273464   0.0487922
           7    0.424264    0.640286   0.0539404
           7     0.59397     1.23964    0.185875
           7    0.763675     2.17571    0.293003
           7    0.933381     2.75282    0.293419
           7     1.10309     3.44307    0.412672
           7     1.27279     5.15211    0.531442
           7      1.4425     5.70814    0.557332
           7      1.6122     6.20643    0.572745
           7     1.78191     6.16307    0.626203
           7     1.95161     6.63868    0.589415
           7     2.12132     6.13164    0.402801
           7     2.29103     8.12025     1.39764
           7     2.46073     9.35321     2.31579
           7     2.63044     8.04254     1.91799
           7     2.80014     6.24225    0.480936
           7     2.96985     5.45482    0.373234
           7     3.13955     4.24211    0.265316
           7     3.30926     3.86764    0.358164
           7     3.47897     3.68593    0.341837
           7     3.64867     2.99261    0.269711
           7     3.81838     2.37286    0.336068
           7     3.98808     1.74693    0.236956
           7     4.15779     1.67471    0.293141
           7     4.32749     1.29764    0.218297
           7      4.4972    0.996679    0.148731
           7      4.6669    0.405536   0.0838628
           7     4.83661    0.239964    0.057378
           7     5.00632    0.711036    0.133716
           8   0.0848528   0.0249375  0.00732461
           8    0.254558       0.411    0.135552
           8    0.424264    0.631969   0.0478347
           8     0.59397     1.17034    0.175083
           8    0.763675     2.20181    0.257538
           8    0.933381       2.847    0.271435
           8     1.10309     3.54744    0.374053
           8     1.27279       5.225    0.469984
           8      1.4425     5.84206    0.503498
           8      1.6122     6.44238    0.547599
           8     1.78191     6.33181     0.57021
           8     1.95161     6.72894    0.522603
           8     2.12132     6.23081    0.364454
           8     2.29103     7.65853     1.29696
           8     2.46073     8.97494     2.05698
           8     2.63044     7.69059     1.71023
           8     2.80014     6.17528    0.425456
           8     2.96985     5.50022    0.329329
           8     3.13955     4.14175    0.250413
           8     3.30926     3.97919    0.330306
           8     3.47897     3.75356    0.305725
           8     3.64867     2.96444    0.237464
           8     3.81838     2.36984    0.294073
           8     3.98808     1.78525    0.210413
           8     4.15779     1.60541    0.264564
           8     4.32749     1.21919    0.204623
           8      4.4972    0.943781    0.139229
           8      4.6669    0.408969   0.0734502
           8     4.83661    0.328875   0.0971473
           8     5.00632    0.864687     0.18533
           9   0.0848528   0.0223611  0.00694912
           9    0.254558    0.393139    0.121661
           9    0.424264    0.620306   0.0439186
           9     0.59397     1.11942    0.162868
           9    0.763675     2.26833    0.237358
           9    0.933381     3.10753    0.344307
           9     1.10309     3.80417    0.411263
           9     1.27279     5.31653    0.426583
           9      1.4425     5.89419    0.450244
           9      1.6122     6.33869    0.496473
           9     1.78191     6.27397    0.509778
           9     1.95161     6.63683    0.472583
           9     2.12132     6.40256    0.362171
           9     2.29103     7.64025     1.15298
           9     2.46073     8.62011     1.85878
           9     2.63044     7.49647     1.53118
           9     2.80014     6.14814    0.379048
           9     2.96985     5.34628    0.326741
           9     3.13955     4.16878    0.224043
           9     3.30926     3.91233    0.300295
           9     3.47897     3.66164     0.28524
           9     3.64867     2.89953    0.219771
           9     3.81838     2.43842    0.269275
           9     3.98808     1.87139    0.203904
           9     4.15779     1.62203     0.23569
           9     4.32749     1.17192    0.187268
           9      4.4972    0.979056     0.12815
           9      4.6669    0.491417    0.101514
           9     4.83661    0.426722    0.126361
           9     5.00632      0.9075    0.169611
          10   0.0848528     0.02095  0.00639588
          10    0.254558      0.4071    0.110293
          10    0.424264      0.5999   0.0440126
          10     0.59397      1.1177     0.14659
          10    0.763675      2.2301     0.21668
          10    0.933381     3.26643    0.344596
          10     1.10309     3.90247    0.381705
          10     1.27279     5.18565    0.403502
          10      1.4425       5.937     0.40725
          10      1.6122      6.4981    0.471723
          10     1.78191      6.3355    0.462499
          10     1.95161     6.61333    0.425909
          10     2.12132     6.28357    0.344945
          10     2.29103     7.50723     1.04533
          10     2.46073     8.41327     1.68437
          10     2.63044     7.33738      1.3863
          10     2.80014     6.10495    0.343595
          10     2.96985     5.41193    0.300589
          10     3.13955      4.4122    0.306573
          10     3.30926     4.07048    0.309114
          10     3.47897      3.6539    0.256821
          10     3.64867     2.96517    0.207367
          10     3.81838     2.37295    0.250179
          10     3.98808     1.83917    0.186041
          10     4.15779     1.54747    0.223601
          10     4.32749      1.1259    0.174103
          10      4.4972    0.936975    0.122048
          10      4.6669     0.51145   0.0933181
          10     4.83661    0.418025    0.114024
          10     5.00632     0.97375    0.165082
          11   0.0848528     0.06625   0.0435815
          11    0.254558    0.427477    0.102132
          11    0.424264     0.59525   0.0402564
          11     0.59397     1.11545    0.133281
          11    0.763675     2.24175    0.197294
          11    0.933381     3.22625    0.315603
          11     1.10309     3.94984    0.349931
          11     1.27279      5.2465     0.37138
          11      1.4425     5.80075    0.392358
          11      1.6122     6.32759    0.458621
          11     1.78191     6.67618    0.531313
          11     1.95161     6.63618    0.387803
          11     2.12132      6.3407    0.318282
          11     2.29103     7.43311    0.952923
          11     2.46073     8.30525      1.5347
          11     2.63044      7.2603     1.26242
          11     2.80014     6.07691    0.313501
          11     2.96985     5.24705    0.315256
          11     3.13955     4.42295    0.278892
          11     3.30926     4.07073    0.281013
          11     3.47897     3.63398    0.234245
          11     3.64867     3.02057    0.195774
          11     3.81838     2.42545     0.23288
          11     3.98808     1.94327    0.196101
          11     4.15779     1.52214    0.204705
          11     4.32749     1.15984     0.16155
          11      4.4972       0.947    0.111364
          11      4.6669    0.541432   0.0895216
          11     4.83661    0.403659    0.104559
          11     5.00632    0.936182     0.15429
          12   0.0848528   0.0613542   0.0402237
          12    0.254558    0.427687   0.0936211
          12    0.424264    0.577812   0.0405026
          12     0.59397       1.107    0.122442
          12    0.763675     2.23854    0.180879
          12    0.933381     3.28465    0.294655
          12     1.10309     3.91217    0.322792
          12     1.27279     5.09825    0.368837
          12      1.4425      5.8011    0.359661
          12      1.6122     6.39942     0.42599
          12     1.78191     6.79867    0.500957
          12     1.95161     6.86488    0.417507
          12     2.12132     6.54269    0.350029
          12     2.29103     7.29758    0.883098
          12     2.46073     8.22167     1.40909
          12     2.63044      7.1351     1.16341
          12     2.80014     5.97077    0.304814
          12     2.96985     5.21319    0.290797
          12     3.13955     4.44477    0.256503
          12     3.30926      4.0026    0.265724
          12     3.47897     3.60206    0.216888
          12     3.64867      2.9951    0.181108
          12     3.81838     2.35798    0.223034
          12     3.98808     2.00119    0.188117
          12     4.15779     1.57979    0.195597
          12     4.32749     1.16354     0.14813
          12      4.4972    0.960792    0.102934
          12      4.6669    0.583521   0.0914218
          12     4.83661    0.435333    0.100529
          12     5.00632    0.920792    0.142198
          13   0.0848528   0.0567308   0.0373944
          13    0.254558    0.413596   0.0874735
          13    0.424264    0.578712    0.037397
          13     0.59397     1.12798    0.114807
          13    0.763675     2.32283    0.185567
          13    0.933381     3.30606    0.272766
          13     1.10309      3.8745    0.300152
          13     1.27279     5.10983    0.340646
          13      1.4425     5.86862    0.338272
          13      1.6122     6.34706    0.396426
          13     1.78191     6.81788     0.46279
          13     1.95161     6.80969    0.389021
          13     2.12132     6.58294     0.32541
          13     2.29103     7.43077     0.82515
          13     2.46073       8.096     1.30629
          13     2.63044     7.09827      1.0745
          13     2.80014     5.94887    0.282152
          13     2.96985     5.21056     0.26844
          13     3.13955     4.37721    0.245508
          13     3.30926     4.00237    0.245284
          13     3.47897     3.51715    0.216187
          13     3.64867     3.05521     0.17687
          13     3.81838     2.33279    0.207296
          13     3.98808     2.03494    0.176649
          13     4.15779     1.60337    0.181966
          13     4.32749     1.13617    0.139241
          13      4.4972    0.942904   0.0965579
          13      4.6669    0.589865   0.0846092
          13     4.83661    0.449288   0.0937597
          13     5.00632    0.957846    0.136002
          14   0.0848528   0.0526786   0.0349422
          14    0.254558     0.40025   0.0822372
          14    0.424264    0.572786   0.0351922
          14     0.59397     1.10852    0.108244
          14    0.763675     2.24436    0.188173
          14    0.933381     3.19468    0.275085
          14     1.10309     3.84809    0.279872
          14     1.27279     5.09573    0.316606
          14      1.4425      5.8567    0.314319
          14      1.6122     6.40402     0.37218
          14     1.78191     6.90688    0.438206
          14     1.95161     6.89977    0.371516
          14     2.12132     6.57502    0.302263
          14     2.29103     7.50305     0.76937
          14     2.46073     8.05162     1.21373
          14     2.63044     7.00468     1.00182
          14     2.80014     6.00673    0.267867
          14     2.96985     5.29448    0.262057
          14     3.13955     4.49602    0.255103
          14     3.30926     3.98316    0.228514
          14     3.47897     3.48463    0.203177
          14     3.64867     3.04312    0.164649
          14     3.81838     2.36054    0.194337
          14     3.98808     2.03018    0.164095
          14     4.15779     1.60545     0.16898
          14     4.32749     1.14302    0.129463
          14      4.4972    0.913482   0.0940366
          14      4.6669    0.557054   0.0846893
          14     4.83661    0.417339   0.0923457
          14     5.00632    0.945982    0.126804
          15   0.0848528   0.0493333   0.0327725
          15    0.254558    0.388383   0.0776062
          15    0.424264    0.596283   0.0399273
          15     0.59397     1.11532    0.101241
          15    0.763675     2.25083     0.17574
          15    0.933381     3.13538    0.263059
          15     1.10309     3.81765    0.262864
          15     1.27279     5.04372    0.299741
          15      1.4425     5.77883    0.302855
          15      1.6122     6.40065    0.347383
          15     1.78191     6.98012    0.415068
          15     1.95161     7.00003    0.360024
          15     2.12132      6.5905    0.282508
          15     2.29103      7.4789    0.718458
          15     2.46073     8.06897     1.13294
          15     2.63044     7.02918    0.935327
          15     2.80014     5.98627     0.25079
          15     2.96985     5.32672    0.246561
          15     3.13955     4.55657    0.245177
          15     3.30926     3.99792    0.213756
          15     3.47897     3.47483    0.189868
          15     3.64867      3.0271     0.15445
          15     3.81838     2.35187    0.181574
          15     3.98808     1.96042    0.167329
          15     4.15779     1.62013    0.158352
          15     4.32749     1.11257    0.124362
          15      4.4972     0.90625   0.0880452
          15      4.6669     0.54645   0.0797044
          15     4.83661    0.423083   0.0863678
          15     5.00632     0.98575     0.12443
          16   0.0848528   0.0509219   0.0307627
          16    0.254558    0.371344    0.074603
          16    0.424264     0.60675   0.0387795
          16     0.59397     1.10664   0.0952841
          16    0.763675     2.23848    0.165189
          16    0.933381     3.09216    0.250144
          16     1.10309     3.82547    0.246551
          16     1.27279     5.05175    0.281115
          16      1.4425     5.71627    0.290318
          16      1.6122     6.32639    0.333514
          16     1.78191     6.95292    0.390016
          16     1.95161      7.1532    0.368668
