#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           7     2.23917    0.756077    0.108488
           7     2.47487     1.27128    0.369754
           7     2.71058    0.830548   0.0979717
           7     2.94628    0.367849    0.055246
           7     3.18198    0.291176   0.0536119
           7     3.41768    0.256186    0.044553
           7     3.65339    0.186267   0.0432154
           7     3.88909   0.0773265   0.0221582
           7     4.12479   0.0700825   0.0216002
           7     4.36049   0.0593838   0.0219435
           7     4.59619   0.0209695  0.00795856
           7      4.8319  0.00595238  0.00279339
           7      5.0676  0.00952381  0.00673461
           7      5.3033   0.0050887  0.00413784
           7       5.539  0.00160286  0.00148396
           7     5.77471 5.44662e-05 5.04259e-05
           7     6.01041  0.00287115  0.00265817
           7     6.24611 0.000412387 0.000381796
           7     6.48181           0           0
           7     6.71751           0           0
           7     6.95322           0           0
           8    0.117851   0.0037854  0.00212896
           8    0.353553    0.030753  0.00817349
           8    0.589256   0.0494281   0.0115148
           8    0.824958   0.0973448   0.0222357
           8     1.06066    0.173495   0.0353982
           8     1.29636    0.303295   0.0620308
           8     1.53206    0.323632   0.0602228
           8     1.76777    0.391796   0.0683038
           8     2.00347    0.406066   0.0691638
           8     2.23917    0.728309   0.0984162
           8     2.47487     1.19778     0.33076
           8     2.71058    0.781202   0.0973623
           8     2.94628    0.373883   0.0486686
           8     3.18198    0.285907   0.0471686
           8     3.41768    0.259797     0.03913
           8     3.65339    0.193362   0.0383915
           8     3.88909   0.0886778   0.0221056
           8     4.12479   0.0774169   0.0201069
           8     4.36049   0.0559504   0.0194673
           8     4.59619   0.0267089  0.00879299
           8      4.8319  0.00706019  0.00265481
           8      5.0676   0.0104984  0.00596288
           8      5.3033  0.00507217  0.00362064
           8       5.539  0.00373775  0.00238202
           8     5.77471  0.00138208  0.00124265
           8     6.01041  0.00565087  0.00348867
           8     6.24611 0.000360839 0.000337534
           8     6.48181           0           0
           8     6.71751           0           0
           8     6.95322           0           0
           9    0.117851  0.00407286  0.00191171
           9    0.353553   0.0290063  0.00744963
           9    0.589256   0.0596466   0.0140562
           9    0.824958    0.104182   0.0207897
           9     1.06066    0.184332   0.0330822
           9     1.29636    0.322228   0.0579559
           9     1.53206     0.32339   0.0535319
           9     1.76777    0.431233   0.0711951
           9     2.00347    0.420346   0.0629358
           9     2.23917    0.699534   0.0915911
           9     2.47487     1.13857    0.299261
           9     2.71058    0.728105   0.0999801
           9     2.94628    0.373269   0.0432649
           9     3.18198    0.286813   0.0419364
           9     3.41768    0.272876   0.0369032
           9     3.65339    0.189549   0.0343147
           9     3.88909    0.102288   0.0234679
           9     4.12479   0.0877996   0.0203779
           9     4.36049   0.0564573   0.0173108
           9     4.59619    0.032589  0.00958245
           9      4.8319  0.00627572  0.00247302
           9      5.0676   0.0117284  0.00542572
           9      5.3033  0.00585815  0.00330256
           9       5.539  0.00562818  0.00276764
           9     5.77471  0.00122852  0.00111403
           9     6.01041    0.005023  0.00315703
           9     6.24611 0.000320746 0.000302402
           9     6.48181           0           0
           9     6.71751           0           0
           9     6.95322           0           0
          10    0.117851    0.005561  0.00222562
          10    0.353553   0.0332734  0.00783199
          10    0.589256   0.0653159   0.0137465
          10    0.824958    0.111318   0.0198978
          10     1.06066    0.197053    0.032127
          10     1.29636    0.341961   0.0554178
          10     1.53206    0.335643    0.049561
          10     1.76777    0.428785   0.0641177
          10     2.00347    0.422642   0.0566841
          10     2.23917    0.680566   0.0843731
          10     2.47487     1.09158    0.272999
          10     2.71058    0.694613   0.0954268
          10     2.94628    0.369717    0.039084
          10     3.18198     0.28915   0.0378078
          10     3.41768    0.283883   0.0348159
          10     3.65339    0.185822   0.0310848
          10     3.88909    0.116667   0.0251433
          10     4.12479        0.09   0.0184585
          10     4.36049   0.0625436   0.0166153
          10     4.59619   0.0368519  0.00952533
          10      4.8319  0.00601852  0.00223905
          10      5.0676   0.0133878  0.00513063
          10      5.3033  0.00901416  0.00421888
          10       5.539  0.00506536  0.00254746
          10     5.77471  0.00110566  0.00100938
          10     6.01041   0.0045207  0.00288101
          10     6.24611 0.000288671 0.000273857
          10     6.48181           0           0
          10     6.71751           0           0
          10     6.95322           0           0
          11    0.117851  0.00510002  0.00207048
          11    0.353553   0.0319816  0.00722574
          11    0.589256   0.0673054   0.0126399
          11    0.824958    0.120895   0.0202631
          11     1.06066    0.202243   0.0296226
          11     1.29636    0.342855    0.050387
          11     1.53206    0.356387   0.0492059
          11     1.76777    0.444543   0.0601941
          11     2.00347    0.419667   0.0516089
          11     2.23917    0.659898   0.0791939
          11     2.47487     1.05121    0.251148
          11     2.71058    0.666008    0.090938
          11     2.94628    0.383977   0.0380435
          11     3.18198    0.284433   0.0346638
          11     3.41768    0.286037   0.0317174
          11     3.65339    0.197866   0.0305029
          11     3.88909    0.124327    0.023996
          11     4.12479   0.0921717   0.0169077
          11     4.36049   0.0677659   0.0159044
          11     4.59619   0.0367102  0.00866044
          11      4.8319  0.00762527  0.00254759
          11      5.0676   0.0127649  0.00470187
          11      5.3033  0.00966033  0.00388452
          11       5.539   0.0055407   0.0023598
          11     5.77471  0.00100515 0.000922607
          11     6.01041  0.00410972  0.00264825
          11     6.24611 0.000262428 0.000250215
          11     6.48181           0           0
          11     6.71751           0           0
          11     6.95322           0           0
          12    0.117851  0.00467502  0.00194107
          12    0.353553   0.0328749  0.00667859
          12    0.589256   0.0664851   0.0116132
          12    0.824958    0.139297   0.0256014
          12     1.06066    0.202383   0.0271543
          12     1.29636    0.343922   0.0461994
          12     1.53206     0.37323   0.0479012
          12     1.76777    0.452764   0.0557364
          12     2.00347    0.429525   0.0482405
          12     2.23917    0.650454   0.0731554
          12     2.47487     1.00905    0.233731
          12     2.71058    0.641862   0.0865062
          12     2.94628    0.379171   0.0351755
          12     3.18198    0.284808   0.0317772
          12     3.41768    0.289393   0.0292513
          12     3.65339    0.205197   0.0288285
          12     3.88909    0.132049   0.0232056
          12     4.12479   0.0938362   0.0155805
          12     4.36049   0.0723992    0.015239
          12     4.59619   0.0360748  0.00796202
          12      4.8319  0.00719862  0.00237075
          12      5.0676   0.0147195  0.00469879
          12      5.3033   0.0108524  0.00373924
          12       5.539  0.00520153  0.00218739
          12     5.77471 0.000921387 0.000849517
          12     6.01041  0.00376725  0.00244961
          12     6.24611 0.000240559 0.000230318
          12     6.48181           0           0
          12     6.71751           0           0
          12     6.95322           0           0
          13    0.117851  0.00432797  0.00182252
          13    0.353553   0.0318795  0.00623859
          13    0.589256     0.07425   0.0130603
          13    0.824958    0.144721   0.0241997
          13     1.06066    0.208505   0.0257465
          13     1.29636    0.360156   0.0454082
          13     1.53206    0.375159   0.0442553
          13     1.76777    0.453612   0.0514554
          13     2.00347    0.440975   0.0458685
          13     2.23917    0.650339   0.0675281
          13     2.47487     0.96502     0.21986
          13     2.71058    0.616746   0.0834181
          13     2.94628    0.384439   0.0328618
          13     3.18198    0.280501   0.0296233
          13     3.41768    0.282273   0.0278541
          13     3.65339    0.213415   0.0277577
          13     3.88909    0.140422   0.0228815
          13     4.12479   0.0979722   0.0149208
          13     4.36049   0.0738436    0.014135
          13     4.59619   0.0349799  0.00742446
          13      4.8319  0.00925088  0.00294564
          13      5.0676   0.0166792  0.00472839
          13      5.3033   0.0122633  0.00370825
          13       5.539  0.00597872  0.00215278
          13     5.77471 0.000942685 0.000784436
          13     6.01041  0.00347746  0.00227825
          13     6.24611 0.000222055 0.000213343
          13     6.48181           0           0
          13     6.71751           0           0
          13     6.95322           0           0
          14    0.117851   0.0045207   0.0017025
          14    0.353553   0.0312364  0.00582603
          14    0.589256   0.0749455   0.0121459
          14    0.824958     0.14246   0.0225765
          14     1.06066    0.214648   0.0246292
          14     1.29636    0.372693   0.0438613
          14     1.53206     0.38166    0.041569
          14     1.76777    0.469184    0.050081
          14     2.00347    0.450895   0.0436515
          14     2.23917    0.638134   0.0637982
          14     2.47487    0.934236      0.2063
          14     2.71058    0.606882   0.0780407
          14     2.94628    0.376599    0.031436
          14     3.18198    0.271615   0.0288092
          14     3.41768    0.279128   0.0260415
