#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      3.0662      3.0662           0
           2     3.18618     3.12619   0.0424197
           3     3.22786     3.16008   0.0395647
           4     3.24518     3.18136   0.0349285
           5     3.26573     3.19823   0.0317585
           6     3.33533     3.22108   0.0336973
           7     3.30038     3.23241   0.0307287
           8     3.29244     3.23991   0.0277888
           9     3.25131     3.24118     0.02473
          10     3.29473     3.24653   0.0228295
          11     3.32635     3.25379   0.0218769
          12     3.26175     3.25445   0.0200639
          13     3.29211     3.25735   0.0187285
          14      3.2704     3.25828   0.0174139
          15     3.28782     3.26025    0.016364
          16     3.23726     3.25881   0.0154042
          17     3.31245     3.26197   0.0148177
          18     3.33213     3.26587    0.014498
          19     3.29826     3.26757   0.0138349
          20     3.33345     3.27087   0.0135296
          21      3.2836     3.27147   0.0128989
          22     3.25957     3.27093   0.0123239
          23      3.2959     3.27202   0.0118358
          24     3.29706     3.27306   0.0113885
          25     3.31626     3.27479   0.0110633
          26     3.26985      3.2746   0.0106394
          27     3.30368     3.27568   0.0102997
          28     3.26513      3.2753  0.00993877
          29     3.26787     3.27504  0.00959936
          30     3.26125     3.27458  0.00929038
          31     3.26052     3.27413  0.00900176
          32     3.26643     3.27389  0.00872367
          33     3.27599     3.27395  0.00845955
          34     3.31197     3.27507  0.00828431
          35     3.30157     3.27583  0.00808214
          36      3.3255     3.27721  0.00797454
          37     3.28816      3.2775  0.00776451
          38     3.26883     3.27728  0.00756353
          39     3.25877      3.2768  0.00738447
          40     3.24527     3.27601   0.0072418
          41      3.2775     3.27605  0.00706526
          42     3.30301     3.27669  0.00692614
          43     3.28066     3.27678  0.00676568
          44     3.27947     3.27684  0.00661219
          45     3.26408     3.27656  0.00647133
          46     3.32097     3.27753  0.00640225
          47      3.2624      3.2772  0.00627411
          48     3.29137      3.2775  0.00615033
          49      3.2894     3.27774  0.00602961
          50     3.25342     3.27726  0.00592861
          51      3.2554     3.27683  0.00582782
          52     3.29455     3.27717   0.0057257
          53     3.30508     3.27769  0.00564184
          54     3.26939     3.27754  0.00553946
          55     3.26317     3.27728   0.0054449
          56     3.28936      3.2775  0.00535194
          57     3.30099     3.27791  0.00527389
          58     3.31334     3.27852  0.00521821
          59     3.32285     3.27927  0.00518358
          60     3.30899     3.27977   0.0051208
          61     3.29101     3.27995  0.00504017
          62     3.29164     3.28014   0.0049624
          63      3.2515     3.27968  0.00490441
          64     3.28599     3.27978  0.00482877
          65     3.32704     3.28051   0.0048089
          66     3.30904     3.28094  0.00475542
          67     3.30778     3.28134  0.00470128
          68     3.28867     3.28145  0.00463338
          69     3.29505     3.28165  0.00457042
          70     3.30498     3.28198  0.00451727
          71     3.30807     3.28235  0.00446857
          72     3.27076     3.28219   0.0044094
          73     3.27103     3.28203  0.00435164
          74     3.29277     3.28218  0.00429526
          75     3.28346      3.2822  0.00423802
          76     3.27056     3.28204  0.00418502
          77     3.30949      3.2824  0.00414583
          78     3.27828     3.28235  0.00409301
          79     3.29332     3.28249  0.00404356
          80     3.28247     3.28249  0.00399301
          81     3.32891     3.28306  0.00398463
          82     3.28901     3.28313   0.0039367
          83     3.32696     3.28366  0.00392453
          84     3.30269     3.28389  0.00388434
          85     3.29801     3.28405   0.0038422
          86     3.30892     3.28434  0.00380839
          87     3.35832     3.28519  0.00385839
          88      3.3274     3.28567  0.00384424
          89      3.3068     3.28591  0.00380837
          90     3.30868     3.28616  0.00377445
          91     3.30405     3.28636  0.00373809
          92     3.25578     3.28603   0.0037122
          93     3.29159     3.28609  0.00367277
          94     3.30706     3.28631  0.00364047
          95     3.32188     3.28668  0.00362136
          96     3.25833     3.28639  0.00359566
          97     3.25931     3.28611  0.00356941
          98     3.28109     3.28606  0.00353336
          99     3.29674     3.28617  0.00349931
         100      3.2725     3.28603  0.00346699
