#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      0.9793      0.9793           0
           2    0.978433    0.978867 0.000306413
           3    0.941233    0.966322   0.0102445
           4     1.00106    0.975006   0.0107515
           5    0.946408    0.969287   0.0100075
           6    0.948892    0.965887   0.0088982
           7     0.96475    0.965725  0.00762851
           8    0.935892    0.961996  0.00753148
           9    0.997708    0.965964  0.00766905
          10    0.992875    0.968655  0.00735918
          11    0.961842    0.968036  0.00671618
          12    0.954175    0.966881  0.00625503
          13     1.00072    0.969484  0.00629238
          14    0.929217    0.966608  0.00646696
          15    0.951475    0.965599  0.00611401
          16    0.906967    0.961934  0.00674121
          17    0.965883    0.962167  0.00634867
          18    0.992775    0.963867  0.00621953
          19    0.876292    0.959258  0.00740572
          20    0.961733    0.959382  0.00703647
          21     0.92995     0.95798  0.00683955
          22    0.937317    0.957041  0.00659284
          23    0.971967     0.95769  0.00633805
          24    0.914833    0.955904  0.00632051
          25    0.945292     0.95548  0.00608193
          26    0.984492    0.956596  0.00594949
          27      0.9622    0.956803  0.00573276
          28     0.95385    0.956698  0.00552899
          29    0.936642    0.956006  0.00538141
          30     1.00173     0.95753   0.0054136
          31     1.00048    0.958916  0.00541338
          32     1.04168    0.961502  0.00582946
          33    0.946458    0.961046   0.0056706
          34     0.94215    0.960491  0.00553099
          35    0.932958    0.959704  0.00542861
          36    0.972925    0.960071  0.00529023
          37    0.984183    0.960723  0.00518723
          38    0.987425    0.961426   0.0050981
          39    0.941717     0.96092  0.00499236
          40    0.989142    0.961626  0.00491715
          41    0.936492    0.961013  0.00483528
          42    0.946833    0.960675  0.00473193
          43    0.915542    0.959626  0.00473687
          44    0.915908    0.958632  0.00473227
          45    0.947158    0.958377  0.00463397
          46    0.968075    0.958588  0.00453802
          47    0.992917    0.959318  0.00449986
          48    0.959858     0.95933  0.00440613
          49    0.971783    0.959584  0.00432353
          50     0.94375    0.959267  0.00424865
          51    0.995358    0.959975  0.00422386
          52    0.919092    0.959188  0.00421517
          53     1.03657    0.960648  0.00438119
          54    0.962733    0.960687  0.00430022
          55      0.9565    0.960611  0.00422271
          56      0.9777    0.960916  0.00415832
          57    0.983108    0.961305  0.00410355
          58    0.984675    0.961708  0.00405253
          59    0.946567    0.961452  0.00399196
          60    0.969658    0.961588  0.00392777
          61      0.9301    0.961072  0.00389716
          62    0.959758    0.961051  0.00383436
          63    0.934533     0.96063  0.00379653
          64    0.995233    0.961171  0.00377551
          65    0.964433    0.961221  0.00371776
          66    0.983283    0.961555  0.00367643
          67    0.927925    0.961053  0.00365566
          68     1.00132    0.961646  0.00364956
          69    0.941767    0.961357  0.00360802
          70    0.956892    0.961294  0.00355704
          71    0.913092    0.960615  0.00357114
          72    0.940508    0.960336  0.00353244
          73    0.942542    0.960092  0.00349245
          74    0.921725    0.959573  0.00348353
          75     0.94395    0.959365  0.00344331
          76    0.925942    0.958925  0.00342597
          77    0.982008    0.959225  0.00339457
          78    0.979875     0.95949  0.00336135
          79    0.934875    0.959178  0.00333321
          80     0.97095    0.959325   0.0032948
          81    0.941417    0.959104  0.00326153
          82    0.992458    0.959511  0.00324702
          83    0.939683    0.959272  0.00321667
          84     0.93495    0.958983  0.00319139
          85    0.963408    0.959035  0.00315426
          86      0.8893    0.958224  0.00322013
          87    0.924808     0.95784  0.00320594
          88     0.96035    0.957868  0.00316963
          89    0.927617    0.957528  0.00315219
          90     1.02891    0.958321   0.0032154
          91     1.01819    0.958979  0.00324667
          92     1.00431    0.959472  0.00324855
          93    0.974258    0.959631  0.00321751
          94    0.958567     0.95962   0.0031833
          95    0.972858    0.959759  0.00315284
          96     0.98365    0.960008  0.00312981
          97    0.967933     0.96009  0.00309861
          98    0.979533    0.960288  0.00307333
          99    0.978258     0.96047  0.00304765
         100    0.947058    0.960335  0.00302012
