#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     117.837     117.837           0
           2     116.162     116.999    0.592255
           3     112.757     115.585     1.22022
           4     117.673     116.107     1.02069
           5     120.158     116.917     1.09168
           6     123.879     118.078     1.39626
           7     111.995     117.209     1.44207
           8     119.044     117.438     1.27994
           9     124.886     118.266     1.37952
          10     124.882     118.927     1.39123
          11     122.058     119.212     1.29355
          12     124.786     119.676      1.2664
          13      116.95     119.467     1.18623
          14     124.832      119.85     1.16176
          15     123.309     120.081     1.10696
          16     110.197     119.463     1.19781
          17     116.741     119.303       1.138
          18     124.861     119.611     1.11589
          19     121.146     119.692     1.06008
          20     124.831     119.949     1.03774
          21     120.572     119.979    0.988748
          22     124.844       120.2     0.96822
          23     124.676     120.395    0.945481
          24     124.389     120.561    0.920617
          25     124.849     120.733    0.899631
          26     121.706      120.77    0.865809
          27     124.897     120.923    0.847129
          28      122.08     120.964    0.817882
          29     120.377     120.944     0.78993
          30     124.632     121.067    0.773104
          31     124.281     121.171    0.755086
          32     124.526     121.275    0.738733
          33     118.042     121.177    0.722815
          34      124.96     121.289    0.710065
          35     116.721     121.158     0.70167
          36     123.628     121.227    0.685525
          37     123.446     121.287    0.669615
          38     124.806     121.379    0.658368
          39     124.966     121.471    0.647879
          40     124.058     121.536      0.6349
          41     120.694     121.515    0.619747
          42     108.208     121.199    0.681183
          43      122.22     121.222    0.665755
          44     119.493     121.183    0.651784
          45     122.342     121.209    0.637808
          46     119.604     121.174    0.624896
          47     121.837     121.188     0.61176
          48     123.069     121.227    0.600268
          49     123.668     121.277    0.590081
          50      110.63     121.064    0.615502
          51     123.519     121.112    0.605313
          52     124.191     121.171    0.596561
          53      122.91     121.204    0.586206
          54     121.541      121.21    0.575384
          55     116.703     121.129    0.570729
          56     123.083     121.163    0.561603
          57     124.108     121.215    0.554122
          58     124.445     121.271    0.547359
          59     123.766     121.313    0.539713
          60     123.627     121.352    0.532094
          61     124.944     121.411    0.526619
          62     119.809     121.385    0.518759
          63     108.858     121.186    0.547305
          64     124.338     121.235    0.540965
          65     124.161      121.28    0.534512
          66     124.365     121.327    0.528453
          67     124.919      121.38    0.523278
          68     124.709     121.429    0.517866
          69     119.238     121.398    0.511334
          70      119.04     121.364    0.505137
          71      120.81     121.356    0.498083
          72      124.75     121.403     0.49339
          73     124.788      121.45    0.488805
          74     124.289     121.488    0.483703
          75      124.47     121.528    0.478885
          76     122.434      121.54    0.472732
          77     110.663     121.398    0.487241
          78       122.6     121.414    0.481238
          79     120.913     121.408    0.475188
          80     124.262     121.443    0.470586
          81     122.209     121.453    0.464871
          82     124.434     121.489    0.460621
          83     114.866     121.409    0.461931
          84     124.864      121.45     0.45826
          85     121.313     121.449    0.452871
          86     122.698     121.463    0.447838
          87       106.7     121.294    0.473752
          88     124.094     121.325    0.469436
          89     115.936     121.265    0.468051
          90      116.11     121.208    0.466341
          91     120.546       121.2    0.461273
          92     123.629     121.227    0.457014
          93     121.707     121.232     0.45213
          94     124.885     121.271    0.448987
          95     124.947     121.309    0.445926
          96     124.923     121.347    0.442866
          97     122.669     121.361     0.43851
          98     122.045     121.368    0.434091
          99      122.04     121.374    0.429759
         100     124.788     121.409    0.426815
