#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0042753   0.0042753           0
           2  0.00445383  0.00436456 6.31175e-05
           3  0.00436433  0.00436449 4.20784e-05
           4  0.00416357  0.00431426 5.37428e-05
           5  0.00424376  0.00430016 4.48058e-05
           6  0.00448239  0.00433053 4.65069e-05
           7  0.00428392  0.00432387 4.03368e-05
           8  0.00430532  0.00432155 3.53613e-05
           9  0.00425493  0.00431415 3.21977e-05
          10   0.0041207  0.00429481 3.43007e-05
          11  0.00444933  0.00430885 3.39374e-05
          12  0.00424414  0.00430346 3.15349e-05
          13  0.00426697  0.00430065 2.92338e-05
          14  0.00442499  0.00430953 2.84628e-05
          15  0.00405358  0.00429247 3.12644e-05
          16  0.00425604  0.00429019 2.93932e-05
          17  0.00426031  0.00428844 2.77167e-05
          18  0.00410313  0.00427814 2.80236e-05
          19  0.00412303  0.00426998 2.77122e-05
          20   0.0040534  0.00425915 2.83636e-05
          21  0.00418762  0.00425574 2.72167e-05
          22  0.00442403  0.00426339 2.70332e-05
          23  0.00428414  0.00426429 2.58729e-05
          24  0.00428623  0.00426521  2.4811e-05
          25  0.00420047  0.00426262 2.39533e-05
          26  0.00418036  0.00425946   2.324e-05
          27  0.00412631  0.00425452 2.28965e-05
          28   0.0040961  0.00424887 2.27671e-05
          29  0.00424907  0.00424887 2.19821e-05
          30  0.00407472  0.00424307 2.20025e-05
          31  0.00448096  0.00425074 2.25914e-05
          32  0.00436561  0.00425433 2.21687e-05
          33  0.00424261  0.00425398 2.14998e-05
          34  0.00418276  0.00425188 2.09692e-05
          35  0.00426071  0.00425213 2.03716e-05
          36  0.00418243   0.0042502 1.98975e-05
          37  0.00423282  0.00424973 1.93653e-05
          38  0.00423909  0.00424945 1.88577e-05
          39  0.00454719  0.00425708 1.98595e-05
          40  0.00413418  0.00425401 1.95993e-05
          41  0.00429357  0.00425497  1.9145e-05
          42  0.00404202   0.0042499  1.9349e-05
          43  0.00437786  0.00425288 1.91264e-05
          44  0.00429637  0.00425387 1.87173e-05
          45  0.00418068  0.00425224 1.83719e-05
          46  0.00421633  0.00425146  1.7989e-05
          47  0.00426225  0.00425169 1.76078e-05
          48  0.00437534  0.00425427 1.74283e-05
          49  0.00420876  0.00425334 1.70974e-05
          50   0.0043995  0.00425626 1.70035e-05
          51  0.00430509  0.00425722  1.6697e-05
          52  0.00427584  0.00425758 1.63798e-05
          53   0.0042706  0.00425782 1.60726e-05
          54  0.00414846   0.0042558  1.5902e-05
          55  0.00416768   0.0042542 1.56934e-05
          56   0.0042973  0.00425496  1.5432e-05
          57  0.00425527  0.00425497 1.51613e-05
          58  0.00423611  0.00425465 1.49034e-05
          59  0.00435766  0.00425639 1.47527e-05
          60  0.00436976  0.00425828 1.46273e-05
          61  0.00422365  0.00425771 1.43985e-05
          62  0.00431994  0.00425872 1.42012e-05
          63  0.00427759  0.00425902  1.3979e-05
          64  0.00446917   0.0042623  1.4141e-05
          65  0.00436325  0.00426385 1.40084e-05
          66  0.00422271  0.00426323   1.381e-05
          67  0.00419569  0.00426222 1.36407e-05
          68  0.00442419   0.0042646 1.36464e-05
          69  0.00417061  0.00426324 1.35165e-05
          70  0.00427333  0.00426338 1.33242e-05
          71  0.00431178  0.00426407 1.31539e-05
          72  0.00423592  0.00426368  1.2977e-05
          73  0.00410032  0.00426144 1.29908e-05
          74  0.00427602  0.00426164 1.28167e-05
          75  0.00415889  0.00426027 1.27188e-05
          76  0.00402671  0.00425719 1.29174e-05
          77  0.00432115  0.00425802 1.27763e-05
          78  0.00427075  0.00425819 1.26136e-05
          79  0.00424878  0.00425807 1.24545e-05
          80  0.00414294  0.00425663 1.23816e-05
          81  0.00419875  0.00425591 1.22494e-05
          82  0.00419545  0.00425518 1.21222e-05
          83   0.0042546  0.00425517 1.19761e-05
          84  0.00423135  0.00425489 1.18369e-05
          85  0.00434877  0.00425599 1.17491e-05
          86  0.00413869  0.00425463 1.16913e-05
          87  0.00406604  0.00425246 1.17562e-05
          88  0.00405489  0.00425021  1.1835e-05
          89  0.00425984  0.00425032 1.17025e-05
          90  0.00417757  0.00424951 1.16004e-05
          91  0.00430235  0.00425009 1.14874e-05
          92   0.0043009  0.00425065 1.13758e-05
          93  0.00439599  0.00425221 1.13604e-05
          94   0.0042795   0.0042525 1.12432e-05
          95  0.00417326  0.00425167 1.11558e-05
          96  0.00418208  0.00425094 1.10631e-05
          97  0.00438855  0.00425236 1.10396e-05
          98  0.00438901  0.00425375 1.10147e-05
          99  0.00432501  0.00425447 1.09269e-05
         100  0.00435847  0.00425551  1.0867e-05
