#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00278667  0.00278667           0
           2  0.00284986  0.00281827 2.23389e-05
           3  0.00276632  0.00280095  2.0535e-05
           4  0.00270211  0.00277624 2.63649e-05
           5   0.0026778  0.00275655 2.74766e-05
           6  0.00271524  0.00274967 2.37443e-05
           7  0.00272165  0.00274566 2.06867e-05
           8   0.0026693  0.00273612 2.01835e-05
           9  0.00277073  0.00273996 1.83036e-05
          10  0.00283687  0.00274965 1.88648e-05
          11  0.00269117  0.00274434 1.78834e-05
          12  0.00273859  0.00274386 1.63995e-05
          13    0.002844  0.00275156 1.68505e-05
          14   0.0028529   0.0027588 1.71311e-05
          15  0.00263987  0.00275087 1.77291e-05
          16  0.00261775  0.00274255 1.84703e-05
          17  0.00268763  0.00273932 1.76641e-05
          18  0.00269347  0.00273677 1.68654e-05
          19  0.00272559  0.00273619  1.5988e-05
          20  0.00265152  0.00273195  1.5739e-05
          21  0.00275379  0.00273299 1.50239e-05
          22  0.00273729  0.00273319 1.43422e-05
          23  0.00284409  0.00273801 1.45065e-05
          24  0.00283437  0.00274202  1.4447e-05
          25  0.00274481  0.00274214 1.38696e-05
          26  0.00278607  0.00274383 1.34386e-05
          27  0.00276127  0.00274447 1.29564e-05
          28  0.00273208  0.00274403 1.25013e-05
          29  0.00272988  0.00274354 1.20797e-05
          30  0.00271757  0.00274268  1.1708e-05
          31  0.00271776  0.00274187 1.13579e-05
          32  0.00278278  0.00274315 1.10747e-05
          33   0.0028145  0.00274531 1.09481e-05
          34   0.0027055  0.00274414 1.06886e-05
          35  0.00273807  0.00274397 1.03846e-05
          36  0.00278489   0.0027451 1.01582e-05
          37  0.00265756  0.00274274 1.01555e-05
          38   0.0027801  0.00274372 9.93569e-06
          39  0.00276796  0.00274434 9.70035e-06
          40  0.00278827  0.00274544 9.51981e-06
          41  0.00283076  0.00274752 9.51235e-06
          42  0.00275917   0.0027478 9.28991e-06
          43  0.00275281  0.00274792 9.07459e-06
          44  0.00273651  0.00274766 8.87206e-06
          45  0.00276314    0.002748 8.68157e-06
          46  0.00280518  0.00274924 8.58137e-06
          47  0.00272612  0.00274875 8.41288e-06
          48  0.00281852  0.00275021 8.36223e-06
          49  0.00282788  0.00275179 8.34046e-06
          50  0.00278512  0.00275246 8.20025e-06
          51  0.00267273  0.00275089 8.18712e-06
          52  0.00277371  0.00275133 8.04143e-06
          53   0.0026892  0.00275016 7.97468e-06
          54  0.00271193  0.00274945 7.85837e-06
          55  0.00272806  0.00274906 7.72511e-06
          56  0.00274132  0.00274893  7.5884e-06
          57  0.00265177  0.00274722 7.64431e-06
          58  0.00282913  0.00274863 7.64185e-06
          59  0.00272628  0.00274825 7.52172e-06
          60  0.00274427  0.00274819 7.39665e-06
          61  0.00279136   0.0027489 7.30917e-06
          62  0.00275309  0.00274896 7.19159e-06
          63  0.00272025  0.00274851 7.09186e-06
          64  0.00279689  0.00274926 7.02123e-06
          65  0.00272164  0.00274884 6.92605e-06
          66  0.00274135  0.00274872 6.82204e-06
          67  0.00279586  0.00274943 6.75639e-06
          68  0.00264529   0.0027479  6.8284e-06
          69  0.00269497  0.00274713 6.77239e-06
          70  0.00281288  0.00274807 6.74046e-06
          71  0.00277911  0.00274851 6.65969e-06
          72  0.00275301  0.00274857 6.56749e-06
          73   0.0027191  0.00274817 6.48992e-06
          74  0.00272672  0.00274788 6.40868e-06
          75  0.00276774  0.00274814 6.32871e-06
          76  0.00272287  0.00274781 6.25416e-06
          77  0.00274681  0.00274779 6.17295e-06
          78  0.00273238   0.0027476 6.09697e-06
          79  0.00264349  0.00274628 6.16056e-06
          80  0.00275831  0.00274643 6.08538e-06
          81   0.0028332   0.0027475 6.10381e-06
          82  0.00271578  0.00274711 6.04162e-06
          83  0.00265606  0.00274602 6.06761e-06
          84  0.00267193  0.00274514 6.05915e-06
          85  0.00273379    0.002745 5.98933e-06
          86   0.0026374  0.00274375 6.04897e-06
          87  0.00270801  0.00274334 5.99337e-06
          88  0.00266475  0.00274245 5.99144e-06
          89   0.0027529  0.00274256 5.92527e-06
          90  0.00288757  0.00274418 6.07453e-06
          91  0.00278089  0.00274458 6.02116e-06
          92  0.00282465  0.00274545 6.01828e-06
          93  0.00266122  0.00274454 6.02133e-06
          94  0.00268636  0.00274392   5.989e-06
          95  0.00268745  0.00274333 5.95538e-06
          96  0.00269401  0.00274282 5.91547e-06
          97  0.00286366  0.00274406 5.98422e-06
          98  0.00271302  0.00274375 5.93154e-06
          99  0.00272874  0.00274359 5.87356e-06
         100  0.00279598  0.00274412 5.83814e-06
