0 1.00816 0
1000 1.00228 0.00588143
2000 1.00019 0.00398855
3000 0.999197 0.00298909
4000 1.00084 0.00283935
5000 1.00083 0.00231836
6000 1.00123 0.00199967
7000 1.00168 0.00179104
8000 1.00173 0.00158013
9000 1.00161 0.00141818
10000 1.00135 0.00130868
11000 1.00089 0.00128069
12000 1.00053 0.00123233
13000 1.00049 0.00114158
14000 1.00023 0.00109329
15000 1.00014 0.00102641
16000 1.00007 0.000967199
17000 1.00017 0.000917979
18000 1.00037 0.000890836
19000 1.00062 0.000881979
20000 1.00066 0.000839543
21000 1.0006 0.000802212
22000 1.00012 0.000904798
23000 1.00002 0.000872179
24000 1.00019 0.000852717
25000 1.00001 0.000838004
26000 0.999988 0.000806671
27000 0.999935 0.00077915
28000 0.999855 0.00075601
29000 0.999695 0.000747863
30000 0.999541 0.000739455
31000 0.999743 0.000743879
32000 0.999742 0.000720985
33000 0.999696 0.000700962
34000 0.999838 0.000695188
35000 0.999904 0.000678881
36000 0.999737 0.000681172
37000 0.999662 0.000667289
38000 0.999558 0.000658219
39000 0.999492 0.000644939
40000 0.999491 0.000629013
41000 0.999636 0.000630819
42000 0.999665 0.000616645
43000 0.999669 0.000602479
44000 0.999644 0.000589464
45000 0.999638 0.000576534
46000 0.999533 0.000573901
47000 0.999632 0.000570426
48000 0.999598 0.000559677
49000 0.999532 0.000552283
50000 0.999571 0.000542742
51000 0.999557 0.000532388
52000 0.99966 0.000532301
53000 0.999655 0.000522377
54000 0.999661 0.000512834
55000 0.999517 0.000523932
56000 0.999525 0.000514729
57000 0.999559 0.000506899
58000 0.999562 0.000498239
59000 0.999671 0.000502021
60000 0.999615 0.000496993
61000 0.999707 0.000497622
62000 0.999677 0.00049059
63000 0.999655 0.000483361
64000 0.999726 0.000481091
65000 0.999786 0.000477497
66000 0.999715 0.000475578
67000 0.999719 0.000468548
68000 0.999769 0.000464387
69000 0.999798 0.000458655
70000 0.999868 0.000457518
71000 0.999919 0.000454005
72000 0.999914 0.000447779
73000 0.999819 0.000451773
74000 0.999821 0.000445716
75000 0.999821 0.000439813
76000 0.99972 0.000445536
77000 0.999762 0.000441706
78000 0.999782 0.000436562
79000 0.999798 0.000431347
80000 0.999801 0.000426005
81000 0.999856 0.000424357
82000 0.999882 0.000419982
83000 0.999927 0.000417409
84000 0.999925 0.000412472
85000 0.999966 0.000409677
86000 0.999904 0.000409691
87000 0.999842 0.000409663
88000 0.999915 0.000411483
89000 0.999968 0.000410308
90000 0.999971 0.000405786
91000 0.999967 0.000401365
92000 1.00003 0.000401496
93000 1.00007 0.000399288
94000 1.00007 0.000395069
95000 1.00001 0.000396293
96000 1.00007 0.000398047
97000 1.00008 0.000394047
98000 1.00007 0.000390224
99000 1.00003 0.000388793
