#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.7648     -0.7648           0
           2    -0.75742    -0.76111  0.00260922
           3    -0.76586   -0.762693  0.00216728
           4     -0.7652    -0.76332  0.00171367
           5     -0.7643   -0.763516   0.0013821
           6    -0.75886    -0.76274  0.00135216
           7    -0.76416   -0.762943  0.00117411
           8    -0.76142   -0.762753  0.00104266
           9    -0.75526    -0.76192  0.00121451
          10    -0.75562    -0.76129  0.00124579
          11    -0.76068   -0.761235  0.00113377
          12    -0.75836   -0.760995  0.00106429
          13    -0.76326   -0.761169 0.000996583
          14    -0.75922    -0.76103 0.000935073
          15    -0.76354   -0.761197 0.000887581
          16    -0.76358   -0.761346 0.000844507
          17     -0.7634   -0.761467 0.000803425
          18     -0.7608    -0.76143 0.000759645
          19    -0.76638   -0.761691 0.000763031
          20    -0.76444   -0.761828  0.00073716
          21    -0.77026    -0.76223 0.000804008
          22    -0.75594   -0.761944 0.000816709
          23    -0.76264   -0.761974 0.000781761
          24    -0.76386   -0.762053 0.000753128
          25    -0.75788   -0.761886 0.000741265
          26    -0.76794   -0.762118 0.000748437
          27    -0.76038   -0.762054 0.000723482
          28    -0.76312   -0.762092 0.000698644
          29     -0.7578   -0.761944 0.000690052
          30    -0.75514   -0.761717 0.000703336
          31    -0.76544   -0.761837 0.000690823
          32    -0.76588   -0.761964 0.000680688
          33    -0.75872   -0.761865 0.000667121
          34    -0.76728   -0.762025 0.000666236
          35    -0.76078   -0.761989 0.000648149
          36    -0.75528   -0.761803 0.000656392
          37    -0.76096    -0.76178 0.000639046
          38    -0.76268   -0.761804 0.000622668
          39     -0.7552   -0.761634 0.000629304
          40    -0.76298   -0.761668  0.00061447
          41    -0.75952   -0.761616 0.000601712
          42    -0.76328   -0.761655 0.000588689
          43     -0.7566   -0.761538  0.00058662
          44    -0.75532   -0.761396 0.000590063
          45    -0.76362   -0.761446 0.000579016
          46    -0.76884   -0.761607 0.000588318
          47    -0.75828   -0.761536 0.000580042
          48     -0.7601   -0.761506 0.000568729
          49    -0.76348   -0.761546 0.000558547
          50    -0.75294   -0.761374 0.000573284
          51    -0.75962    -0.76134 0.000563074
          52    -0.76302   -0.761372 0.000553172
          53    -0.76676   -0.761474 0.000551997
          54    -0.76234    -0.76149 0.000542008
          55    -0.76004   -0.761463 0.000532794
          56    -0.77056   -0.761626 0.000547483
          57    -0.75978   -0.761593 0.000538835
          58    -0.75752   -0.761523 0.000534102
          59    -0.77006   -0.761668 0.000544296
          60    -0.76708   -0.761758 0.000542647
          61    -0.76348   -0.761786 0.000534485
          62    -0.76448    -0.76183 0.000527628
          63     -0.7603   -0.761805 0.000519811
          64    -0.76158   -0.761802 0.000511701
          65    -0.76058   -0.761783 0.000504174
          66    -0.76602   -0.761847 0.000500605
          67    -0.76414   -0.761881 0.000494301
          68    -0.75946   -0.761846 0.000488313
          69    -0.76642   -0.761912 0.000485715
          70    -0.76338   -0.761933 0.000479229
          71     -0.7566   -0.761858  0.00047833
          72    -0.76114   -0.761848  0.00047179
          73     -0.7625   -0.761857 0.000465412
          74    -0.76102   -0.761846  0.00045926
          75     -0.7592    -0.76181 0.000454489
          76    -0.75898   -0.761773 0.000450032
          77     -0.7604   -0.761755 0.000444541
          78    -0.76924   -0.761851 0.000449079
          79     -0.7611   -0.761842 0.000443495
          80    -0.76292   -0.761855 0.000438156
          81    -0.75856   -0.761815 0.000434631
          82    -0.76324   -0.761832 0.000429678
          83    -0.76268   -0.761842 0.000424623
          84    -0.76484   -0.761878 0.000421065
          85    -0.75164   -0.761757 0.000432995
          86     -0.7661   -0.761808 0.000430895
          87    -0.76146   -0.761804 0.000425961
          88    -0.76356   -0.761824 0.000421587
          89    -0.75954   -0.761798 0.000417631
          90    -0.76024   -0.761781 0.000413349
          91    -0.75828   -0.761742 0.000410593
          92    -0.76308   -0.761757 0.000406387
          93    -0.76148   -0.761754 0.000402029
          94     -0.7581   -0.761715 0.000399627
          95    -0.76596    -0.76176  0.00039791
          96    -0.76016   -0.761743 0.000394114
          97    -0.76478   -0.761774 0.000391293
          98    -0.75372   -0.761692 0.000395837
          99    -0.76258   -0.761701  0.00039194
         100    -0.75872   -0.761671 0.000389153
