#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.99994    -0.99994           0
           2          -1    -0.99997 2.12132e-05
           3    -0.99996   -0.999967 1.44016e-05
           4          -1   -0.999975 1.29904e-05
           5          -1    -0.99998 1.13137e-05
           6          -1   -0.999983 9.90697e-06
           7          -1   -0.999986 8.77314e-06
           8          -1   -0.999988 7.85613e-06
           9    -0.99336   -0.999251 0.000694309
          10    -0.99996   -0.999322 0.000628487
          11    -0.99992   -0.999376 0.000573698
          12          -1   -0.999428 0.000528238
          13          -1   -0.999472 0.000489432
          14          -1    -0.99951 0.000455921
          15          -1   -0.999543 0.000426695
          16          -1   -0.999571 0.000400983
          17    -0.99998   -0.999595 0.000378116
          18          -1   -0.999618 0.000357777
          19          -1   -0.999638 0.000339512
          20          -1   -0.999656 0.000323019
          21          -1   -0.999672 0.000308052
          22          -1   -0.999687 0.000294409
          23          -1   -0.999701 0.000281923
          24          -1   -0.999713 0.000270451
          25          -1   -0.999725 0.000259876
          26          -1   -0.999735 0.000250097
          27    -0.99972   -0.999735 0.000240834
          28          -1   -0.999744 0.000232419
          29          -1   -0.999753 0.000224572
          30    -0.99998   -0.999761 0.000217214
          31          -1   -0.999768 0.000210344
          32          -1   -0.999776 0.000203895
          33    -0.99996   -0.999781 0.000197793
          34          -1   -0.999788  0.00019208
          35          -1   -0.999794 0.000186688
          36          -1   -0.999799  0.00018159
          37          -1   -0.999805 0.000176763
          38    -0.99974   -0.999803  0.00017212
          39    -0.99876   -0.999776 0.000169772
          40    -0.99998   -0.999782 0.000165604
          41          -1   -0.999787 0.000161651
          42          -1   -0.999792 0.000157881
          43    -0.99998   -0.999796  0.00015427
          44          -1   -0.999801 0.000150834
          45          -1   -0.999805 0.000147547
          46          -1    -0.99981   0.0001444
          47          -1   -0.999814 0.000141384
          48          -1   -0.999818 0.000138492
          49          -1   -0.999821 0.000135716
          50          -1   -0.999825 0.000133049
          51          -1   -0.999828 0.000130484
          52          -1   -0.999832 0.000128017
          53    -0.99926   -0.999821 0.000126055
          54    -0.99934   -0.999812 0.000124034
          55          -1   -0.999815 0.000121826
          56    -0.99998   -0.999818 0.000119686
          57          -1   -0.999821 0.000117629
          58          -1   -0.999824 0.000115641
          59          -1   -0.999827 0.000113719
          60          -1    -0.99983 0.000111861
          61          -1   -0.999833 0.000110061
          62    -0.99868   -0.999815 0.000109846
          63          -1   -0.999817 0.000108142
          64          -1    -0.99982  0.00010649
          65    -0.99872   -0.999803 0.000106189
          66     -0.9999   -0.999805  0.00010459
          67          -1   -0.999808 0.000103069
          68    -0.99988   -0.999809 0.000101559
          69          -1   -0.999812 0.000100125
          70    -0.99976   -0.999811 9.86974e-05
          71    -0.99998   -0.999813  9.7336e-05
          72          -1   -0.999816 9.60187e-05
          73    -0.99986   -0.999816 9.47053e-05
          74          -1   -0.999819  9.3458e-05
          75          -1   -0.999821  9.2243e-05
          76          -1   -0.999824 9.10593e-05
          77          -1   -0.999826 8.99055e-05
          78          -1   -0.999828 8.87805e-05
          79    -0.99996    -0.99983 8.76724e-05
          80          -1   -0.999832 8.66023e-05
          81    -0.99998   -0.999834 8.55524e-05
          82          -1   -0.999836  8.4533e-05
          83          -1   -0.999838 8.35377e-05
          84          -1    -0.99984 8.25655e-05
          85          -1   -0.999842 8.16157e-05
          86          -1   -0.999843 8.06874e-05
          87          -1   -0.999845   7.978e-05
          88          -1   -0.999847 7.88928e-05
          89          -1   -0.999849 7.80251e-05
          90          -1    -0.99985 7.71762e-05
          91          -1   -0.999852 7.63456e-05
          92          -1   -0.999854 7.55327e-05
          93          -1   -0.999855 7.47369e-05
          94          -1   -0.999857 7.39577e-05
          95          -1   -0.999858 7.31946e-05
          96          -1    -0.99986  7.2447e-05
          97          -1   -0.999861 7.17145e-05
          98          -1   -0.999863 7.09967e-05
          99          -1   -0.999864 7.02931e-05
         100          -1   -0.999865 6.96034e-05
