#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.32152    -0.32152           0
           2    -0.32382    -0.32267 0.000813173
           3    -0.32466   -0.323333 0.000766309
           4    -0.31998   -0.322495 0.000925969
           5    -0.32398   -0.322792 0.000786966
           6    -0.32388   -0.322973 0.000676374
           7    -0.32174   -0.322797  0.00060226
           8    -0.31992   -0.322437 0.000625204
           9    -0.31918   -0.322076 0.000652144
          10    -0.31982    -0.32185 0.000624719
          11    -0.31888    -0.32158 0.000623549
          12       -0.32   -0.321448 0.000585323
          13    -0.32028   -0.321358 0.000547154
          14    -0.32868   -0.321881 0.000715609
          15    -0.31988   -0.321748 0.000680227
          16    -0.32234   -0.321785 0.000638718
          17    -0.32546   -0.322001 0.000636679
          18    -0.32124   -0.321959 0.000602711
          19    -0.32394   -0.322063 0.000579938
          20    -0.32122   -0.322021 0.000552472
          21    -0.31858   -0.321857 0.000549926
          22    -0.32334   -0.321925 0.000529044
          23    -0.32352   -0.321994 0.000510569
          24    -0.32042   -0.321928 0.000493489
          25    -0.32032   -0.321864 0.000477925
          26    -0.32108   -0.321834 0.000460493
          27    -0.32022   -0.321774   0.0004473
          28    -0.32354   -0.321837 0.000435749
          29    -0.32352   -0.321895  0.00042457
          30    -0.32232   -0.321909 0.000410653
          31    -0.32444   -0.321991 0.000405439
          32    -0.32256   -0.322009 0.000393159
          33      -0.324   -0.322069 0.000385848
          34    -0.32156   -0.322054  0.00037479
          35    -0.32106   -0.322026 0.000365156
          36     -0.3223   -0.322033 0.000355093
          37    -0.32328   -0.322067  0.00034709
          38    -0.32284   -0.322087 0.000338552
          39    -0.32292   -0.322109 0.000330544
          40      -0.322   -0.322106 0.000322291
          41    -0.32366   -0.322144 0.000316651
          42    -0.32304   -0.322165  0.00030983
          43    -0.31832   -0.322076 0.000315266
          44    -0.32212   -0.322077 0.000308102
          45    -0.32486   -0.322139   0.0003074
          46    -0.32274   -0.322152 0.000300996
          47    -0.32128   -0.322133 0.000295162
          48    -0.32218   -0.322134 0.000289015
          49    -0.31722   -0.322034 0.000300013
          50    -0.31862   -0.321966 0.000301682
          51    -0.32276   -0.321981 0.000296168
          52    -0.32058   -0.321954 0.000291696
          53    -0.31996   -0.321917 0.000288609
          54    -0.32498   -0.321973 0.000288786
          55    -0.32142   -0.321963  0.00028371
          56    -0.32668   -0.322047 0.000290878
          57     -0.3231   -0.322066  0.00028636
          58    -0.31598   -0.321961 0.000300033
          59    -0.32522   -0.322016 0.000299989
          60    -0.32128   -0.322004  0.00029524
          61    -0.32736   -0.322092 0.000303175
          62    -0.31898   -0.322042 0.000302411
          63     -0.3255   -0.322097 0.000302552
          64     -0.3234   -0.322117  0.00029851
          65    -0.32254   -0.322123 0.000293988
          66    -0.31706   -0.322047 0.000299377
          67    -0.31916   -0.322004 0.000297992
          68    -0.32134   -0.321994  0.00029377
          69    -0.32168   -0.321989 0.000289548
          70    -0.32064    -0.32197 0.000286052
          71    -0.32142   -0.321962 0.000282128
          72    -0.32606   -0.322019 0.000283892
          73    -0.31752   -0.321958 0.000286615
          74     -0.3213   -0.321949  0.00028288
          75     -0.3216   -0.321944 0.000279146
          76    -0.31892   -0.321904 0.000278294
          77    -0.32086   -0.321891 0.000275011
          78     -0.3179   -0.321839 0.000276203
          79    -0.32062   -0.321824 0.000273138
          80    -0.31988     -0.3218 0.000270802
          81    -0.32496   -0.321839 0.000270255
          82    -0.32424   -0.321868 0.000268541
          83    -0.32276   -0.321879  0.00026552
          84    -0.32324   -0.321895 0.000262853
          85    -0.31806    -0.32185 0.000263605
          86    -0.31934   -0.321821  0.00026215
          87    -0.32324   -0.321837 0.000259644
          88    -0.32072   -0.321824 0.000257004
          89    -0.31964     -0.3218 0.000255285
          90     -0.3232   -0.321815 0.000252922
          91    -0.32116   -0.321808 0.000250245
          92    -0.32184   -0.321808 0.000247526
          93    -0.32396   -0.321832 0.000245943
          94    -0.32176   -0.321831 0.000243328
          95    -0.32402   -0.321854 0.000241855
          96    -0.32132   -0.321848   0.0002394
          97    -0.32198    -0.32185 0.000236935
          98     -0.3229    -0.32186  0.00023476
          99    -0.31894   -0.321831 0.000234235
         100      -0.318   -0.321793 0.000235004
