#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.35118    -0.35118           0
           2    -0.35708    -0.35413  0.00208597
           3    -0.35998    -0.35608  0.00211397
           4    -0.35184    -0.35502  0.00183206
           5     -0.3554   -0.355096  0.00146722
           6     -0.3546   -0.355013  0.00122501
           7    -0.35414   -0.354889  0.00105635
           8     -0.3534   -0.354702 0.000940548
           9    -0.35054    -0.35424 0.000942924
          10    -0.35254    -0.35407 0.000863821
          11    -0.35246   -0.353924 0.000797595
          12    -0.35574   -0.354075 0.000745353
          13    -0.35366   -0.354043 0.000688701
          14    -0.35966   -0.354444 0.000747289
          15    -0.35518   -0.354493 0.000699078
          16     -0.3556   -0.354562 0.000658798
          17    -0.35748   -0.354734  0.00064201
          18    -0.35372   -0.354678  0.00060881
          19    -0.35452   -0.354669 0.000576824
          20    -0.35304   -0.354588 0.000553706
          21    -0.35176   -0.354453 0.000543469
          22    -0.35428   -0.354445 0.000518823
          23    -0.35804   -0.354602 0.000519271
          24     -0.3547   -0.354606 0.000497651
          25    -0.35148   -0.354481 0.000493202
          26    -0.35278   -0.354415 0.000478551
          27    -0.35354   -0.354383 0.000461924
          28    -0.35754   -0.354496 0.000458981
          29    -0.35754   -0.354601    0.000455
          30    -0.35622   -0.354655 0.000443024
          31    -0.35668    -0.35472 0.000433523
          32    -0.35486   -0.354724 0.000419998
          33     -0.3577   -0.354815 0.000416838
          34    -0.35582   -0.354844 0.000405625
          35    -0.35488   -0.354845 0.000394037
          36     -0.3548   -0.354844 0.000383094
          37     -0.3565   -0.354889 0.000375346
          38    -0.35556   -0.354906 0.000365884
          39    -0.35646   -0.354946 0.000358664
          40     -0.3554   -0.354957 0.000349877
          41    -0.35544   -0.354969 0.000341542
          42    -0.35372    -0.35494 0.000334702
          43    -0.35276   -0.354889 0.000330734
          44    -0.35354   -0.354858 0.000324635
          45    -0.35584    -0.35488 0.000318153
          46    -0.35656   -0.354917 0.000313326
          47    -0.35572   -0.354934 0.000307126
          48    -0.35574    -0.35495 0.000301186
          49    -0.34882   -0.354825 0.000319971
          50    -0.35376   -0.354804  0.00031428
          51    -0.35452   -0.354798 0.000308167
          52    -0.35474   -0.354797 0.000302243
          53      -0.351   -0.354726 0.000304914
          54    -0.35694   -0.354767 0.000302012
          55    -0.35388   -0.354751 0.000296951
          56    -0.35946   -0.354835 0.000303323
          57    -0.35856     -0.3549 0.000304962
          58     -0.3515   -0.354841 0.000305286
          59    -0.35712    -0.35488 0.000302545
          60    -0.35372   -0.354861 0.000298119
          61    -0.35854   -0.354921 0.000299272
          62    -0.35336   -0.354896 0.000295502
          63    -0.36026   -0.354981  0.00030283
          64    -0.35694   -0.355012 0.000299641
          65    -0.35392   -0.354995 0.000295502
          66     -0.3506   -0.354928 0.000298432
          67    -0.35326   -0.354903 0.000295015
          68    -0.35378   -0.354887 0.000291139
          69      -0.355   -0.354888 0.000286924
          70    -0.35324   -0.354865  0.00028379
          71     -0.3511   -0.354812 0.000284703
          72    -0.35854   -0.354864 0.000285419
          73    -0.35354   -0.354845 0.000282085
          74     -0.3542   -0.354837 0.000278408
          75    -0.35264   -0.354807 0.000276232
          76      -0.351   -0.354757 0.000277103
          77    -0.35606   -0.354774  0.00027402
          78     -0.3504   -0.354718 0.000276186
          79     -0.3518   -0.354681 0.000275149
          80    -0.35404   -0.354673 0.000271827
          81    -0.35894   -0.354726 0.000273527
          82    -0.35458   -0.354724 0.000270197
          83    -0.35344   -0.354709 0.000267384
          84     -0.3548    -0.35471 0.000264203
          85    -0.35304    -0.35469 0.000261824
          86    -0.35396   -0.354682 0.000258918
          87    -0.35384   -0.354672 0.000256122
          88    -0.35386   -0.354663 0.000253378
          89    -0.35158   -0.354628 0.000252887
          90    -0.35408   -0.354622 0.000250151
          91    -0.35534    -0.35463 0.000247526
          92     -0.3534   -0.354617 0.000245197
          93    -0.35436   -0.354614 0.000242575
          94    -0.35308   -0.354597 0.000240543
          95     -0.3594   -0.354648 0.000243265
          96    -0.35354   -0.354636 0.000241005
          97     -0.3536   -0.354626 0.000238757
          98    -0.35556   -0.354635 0.000236511
          99    -0.35318   -0.354621 0.000234578
         100    -0.35128   -0.354587 0.000234599
