#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.45892    -0.45892           0
           2    -0.46702    -0.46297  0.00286378
           3    -0.46036     -0.4621  0.00203706
           4    -0.46026    -0.46164  0.00157888
           5    -0.46382   -0.462076  0.00132193
           6     -0.4597    -0.46168  0.00115941
           7    -0.46406    -0.46202  0.00104244
           8    -0.45606   -0.461275  0.00114788
           9     -0.4566   -0.460756  0.00113178
          10     -0.4604    -0.46072  0.00101916
          11     -0.4588   -0.460545 0.000941341
          12    -0.46218   -0.460682 0.000872695
          13    -0.46178   -0.460766 0.000809644
          14    -0.46546   -0.461101 0.000818292
          15    -0.46196   -0.461159 0.000765738
          16    -0.46242   -0.461237 0.000721926
          17    -0.46188   -0.461275 0.000680449
          18     -0.4611   -0.461266 0.000642716
          19     -0.4626   -0.461336 0.000612714
          20    -0.46318   -0.461428 0.000588976
          21     -0.4601   -0.461365 0.000564314
          22    -0.46176   -0.461383  0.00053895
          23      -0.466   -0.461583  0.00055164
          24     -0.4658   -0.461759 0.000555928
          25    -0.46258   -0.461792  0.00053466
          26    -0.46218   -0.461807 0.000514304
          27    -0.45892     -0.4617 0.000506248
          28     -0.4626   -0.461732 0.000489188
          29    -0.46066   -0.461695 0.000473714
          30    -0.46608   -0.461841 0.000479943
          31     -0.4611   -0.461817 0.000465056
          32    -0.46202   -0.461824 0.000450566
          33    -0.46316   -0.461864 0.000438728
          34    -0.45956   -0.461796 0.000431027
          35    -0.46338   -0.461842  0.00042108
          36    -0.46114   -0.461822 0.000409834
          37    -0.46268   -0.461845 0.000399413
          38    -0.46116   -0.461827 0.000389309
          39     -0.4609   -0.461804 0.000380052
          40    -0.46352   -0.461846 0.000372965
          41    -0.46446    -0.46191 0.000369276
          42    -0.46142   -0.461899 0.000360668
          43     -0.4609   -0.461875 0.000353027
          44    -0.46198   -0.461878 0.000345012
          45    -0.46088   -0.461856 0.000338057
          46    -0.46694   -0.461966 0.000348309
          47    -0.46286   -0.461985 0.000341417
          48     -0.4593   -0.461929 0.000338856
          49    -0.45852    -0.46186 0.000339008
          50    -0.45986    -0.46182 0.000334578
          51    -0.45858   -0.461756 0.000333993
          52    -0.45994   -0.461721 0.000329391
          53    -0.46168    -0.46172 0.000323177
          54    -0.46336   -0.461751 0.000318616
          55    -0.46138   -0.461744 0.000312894
          56    -0.46514   -0.461805 0.000313128
          57    -0.46694   -0.461895 0.000320334
          58    -0.45908   -0.461846 0.000318465
          59    -0.46388   -0.461881 0.000314928
          60    -0.46572   -0.461945 0.000316113
          61    -0.46588   -0.462009 0.000317446
          62    -0.46096   -0.461992 0.000312776
          63    -0.46976   -0.462116 0.000331223
          64    -0.46256   -0.462122 0.000326121
          65    -0.46378   -0.462148 0.000322099
          66    -0.46018   -0.462118 0.000318596
          67    -0.46002   -0.462087 0.000315376
          68    -0.46024    -0.46206 0.000311905
          69    -0.45944   -0.462022 0.000309687
          70     -0.4612    -0.46201 0.000305486
          71    -0.45986    -0.46198  0.00030268
          72    -0.46584   -0.462033 0.000303188
          73    -0.45956   -0.461999 0.000300921
          74    -0.46384   -0.462024 0.000297881
          75    -0.45918   -0.461986 0.000296314
          76    -0.45864   -0.461942 0.000295668
          77    -0.46624   -0.461998  0.00029705
          78     -0.4618   -0.461996 0.000293252
          79    -0.46378   -0.462018 0.000290409
          80     -0.4644   -0.462048 0.000288301
          81     -0.4662   -0.462099 0.000289262
          82    -0.46274   -0.462107  0.00028584
          83    -0.45968   -0.462078 0.000283888
          84    -0.46188   -0.462075 0.000280518
          85    -0.46054   -0.462057 0.000277799
          86    -0.46126   -0.462048 0.000274724
          87    -0.46142   -0.462041 0.000271661
          88     -0.4619   -0.462039 0.000268578
          89    -0.46282   -0.462048 0.000265704
          90     -0.4613    -0.46204 0.000262882
          91    -0.46164   -0.462035 0.000260029
          92    -0.46068   -0.462021  0.00025762
          93    -0.46108   -0.462011 0.000255048
          94    -0.46278   -0.462019 0.000252466
          95    -0.46788    -0.46208 0.000257237
          96    -0.45848   -0.462043 0.000257277
          97    -0.46296   -0.462052 0.000254799
          98    -0.46256   -0.462058 0.000252251
          99    -0.45924   -0.462029 0.000251304
         100    -0.46286   -0.462037 0.000248928
