#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.8543     -0.8543           0
           2    -0.84088    -0.84759  0.00474469
           3    -0.85104    -0.84874  0.00329955
           4    -0.84462    -0.84771  0.00263052
           5    -0.84362   -0.846892  0.00222797
           6    -0.84586    -0.84672  0.00186327
           7    -0.84826    -0.84694  0.00161002
           8     -0.8477   -0.847035  0.00141157
           9     -0.8546   -0.847876  0.00148404
          10    -0.83196   -0.846284  0.00201585
          11    -0.84988   -0.846611  0.00185891
          12    -0.84102   -0.846145  0.00176142
          13    -0.84976   -0.846423  0.00164773
          14    -0.84624    -0.84641  0.00153009
          15     -0.8488   -0.846569  0.00143636
          16     -0.8519   -0.846903  0.00138468
          17    -0.84024   -0.846511  0.00135756
          18     -0.8553   -0.846999  0.00136714
          19    -0.84928   -0.847119  0.00130045
          20    -0.85442   -0.847484  0.00128564
          21    -0.84374   -0.847306  0.00123672
          22    -0.84852   -0.847361  0.00118174
          23    -0.84964    -0.84746  0.00113451
          24    -0.84314    -0.84728  0.00110142
          25    -0.84768   -0.847296  0.00105748
          26     -0.8504   -0.847415  0.00102352
          27    -0.86252   -0.847975  0.00112819
          28    -0.84854   -0.847995  0.00108808
          29     -0.8534   -0.848181   0.0010664
          30    -0.85866   -0.848531  0.00108655
          31    -0.84314   -0.848357  0.00106533
          32    -0.85168   -0.848461  0.00103708
          33    -0.83764   -0.848133  0.00105622
          34     -0.8464   -0.848082  0.00102639
          35    -0.85414   -0.848255  0.00101155
          36    -0.84846   -0.848261 0.000983468
          37    -0.85098   -0.848334  0.00095963
          38    -0.84052   -0.848128 0.000956154
          39    -0.84484   -0.848044 0.000935348
          40    -0.83756   -0.847782 0.000947976
          41     -0.8449   -0.847712 0.000927458
          42    -0.84766    -0.84771 0.000905376
          43     -0.8455   -0.847659 0.000885779
          44    -0.85014   -0.847715  0.00086744
          45    -0.85336   -0.847841 0.000857185
          46    -0.84558   -0.847792 0.000839958
          47     -0.8455   -0.847743 0.000823501
          48     -0.8529    -0.84785 0.000813323
          49     -0.8527   -0.847949 0.000802724
          50    -0.84418   -0.847874 0.000790201
          51     -0.8457   -0.847831 0.000775856
          52    -0.84252   -0.847729  0.00076763
          53    -0.85012   -0.847774 0.000754471
          54     -0.8495   -0.847806 0.000741175
          55    -0.84918   -0.847831  0.00072812
          56     -0.8504   -0.847877 0.000716561
          57     -0.8483   -0.847885 0.000704029
          58    -0.84492   -0.847833 0.000693743
          59    -0.84736   -0.847825 0.000682031
          60    -0.84854   -0.847837 0.000670768
          61    -0.84942   -0.847863 0.000660273
          62    -0.85086   -0.847912  0.00065139
          63    -0.84308   -0.847835  0.00064555
          64    -0.84558     -0.8478 0.000636424
          65    -0.84888   -0.847816  0.00062685
          66    -0.84436   -0.847764 0.000619536
          67    -0.85082    -0.84781 0.000611966
          68     -0.8493   -0.847831 0.000603359
          69     -0.8472   -0.847822 0.000594684
          70    -0.84696    -0.84781 0.000586316
          71    -0.84418   -0.847759 0.000580283
          72    -0.84728   -0.847752 0.000572261
          73     -0.8485   -0.847762 0.000564514
          74    -0.84896   -0.847779 0.000557117
          75    -0.84226   -0.847705 0.000554527
          76    -0.85234   -0.847766 0.000550574
          77    -0.84212   -0.847693 0.000548284
          78    -0.85916    -0.84784 0.000560619
          79    -0.85624   -0.847946 0.000563516
          80    -0.84718   -0.847937 0.000556554
          81    -0.85746   -0.848054 0.000561965
          82    -0.85368   -0.848123 0.000559284
          83    -0.85204    -0.84817 0.000554533
          84    -0.85154    -0.84821 0.000549381
          85    -0.85038   -0.848236 0.000543511
          86    -0.84832   -0.848237 0.000537192
          87    -0.84088   -0.848152 0.000537631
          88    -0.84342   -0.848098 0.000534204
          89    -0.84356   -0.848047 0.000530629
          90      -0.846   -0.848024 0.000525221
          91     -0.8477   -0.848021 0.000519461
          92    -0.85102   -0.848053 0.000514837
          93     -0.8567   -0.848146 0.000517628
          94    -0.84314   -0.848093 0.000514854
          95    -0.85868   -0.848205 0.000521356
          96    -0.84196    -0.84814 0.000519967
          97    -0.85128   -0.848172 0.000515613
          98    -0.84136   -0.848102 0.000515016
          99    -0.83998    -0.84802 0.000516308
         100    -0.84916   -0.848032  0.00051127
