#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.10206     1.09817   0.0011252
         169     1.09235     1.09813  0.00111907
         170     1.10374     1.09817  0.00111297
         171     1.09754     1.09816  0.00110647
         172     1.11131     1.09824  0.00110268
         173      1.0994     1.09825  0.00109632
         174     1.09294     1.09822  0.00109045
         175     1.09931     1.09822  0.00108423
         176     1.12446     1.09837  0.00108827
         177     1.09577     1.09836  0.00108222
         178     1.08423     1.09828  0.00107905
         179     1.07217     1.09813  0.00108283
         180      1.0901     1.09809  0.00107773
         181      1.1036     1.09812  0.00107221
         182      1.0972     1.09811  0.00106633
         183     1.08375     1.09803  0.00106339
         184     1.06598     1.09786  0.00107178
         185     1.10032     1.09787  0.00106607
         186     1.09617     1.09786  0.00106038
         187     1.09779     1.09786  0.00105471
         188     1.09822     1.09787   0.0010491
         189     1.08821     1.09781  0.00104479
         190     1.11067     1.09788  0.00104148
         191      1.1073     1.09793   0.0010372
         192     1.13716     1.09814  0.00105172
         193     1.11491     1.09822  0.00104986
         194     1.10601     1.09826  0.00104521
         195     1.08834     1.09821  0.00104109
         196     1.11186     1.09828  0.00103811
         197     1.07305     1.09815  0.00104071
         198     1.11228     1.09823   0.0010379
         199     1.10799     1.09827  0.00103384
         200     1.10508     1.09831  0.00102923
