#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.18397     1.18397           0
           2     1.21919     1.20158   0.0124518
           3     1.22832      1.2105   0.0110402
           4     1.16749     1.19974   0.0124608
           5     1.28497     1.21679   0.0182159
           6     1.21376     1.21628   0.0151869
           7     1.23772     1.21935   0.0133226
           8     1.22947     1.22061   0.0117172
           9     1.20496     1.21887   0.0105435
          10     1.18567     1.21555   0.0099984
          11      1.2733      1.2208   0.0103768
          12      1.1974     1.21885  0.00969356
          13     1.31856     1.22652   0.0115917
          14     1.23936     1.22744      0.0108
          15      1.1411     1.22168   0.0115122
          16     1.20229     1.22047   0.0108564
          17     1.23161     1.22113   0.0102375
          18     1.25035     1.22275  0.00979667
          19     1.19949     1.22153  0.00935726
          20     1.18129     1.21951  0.00910313
          21     1.21519     1.21931  0.00867198
          22     1.14283     1.21583  0.00894748
          23      1.2115     1.21564  0.00856043
          24     1.27684     1.21819  0.00857508
          25     1.17471     1.21645  0.00840659
          26     1.21111     1.21625  0.00808577
          27     1.16476     1.21434    0.008008
          28     1.23294     1.21501   0.0077495
          29     1.22965     1.21551  0.00749871
          30     1.19229     1.21474  0.00728861
          31     1.26997     1.21652  0.00726801
          32     1.23458     1.21708  0.00706277
          33     1.24345     1.21788  0.00689379
          34     1.20528     1.21751  0.00670099
          35      1.2152     1.21744  0.00650986
          36     1.18887     1.21665  0.00637725
          37     1.26229     1.21788  0.00632303
          38     1.26993     1.21925  0.00630325
          39     1.12585     1.21686  0.00658093
          40     1.28394     1.21854  0.00662666
          41     1.20732     1.21826  0.00647068
          42     1.27972     1.21973  0.00647997
          43     1.26403     1.22076  0.00641066
          44     1.26534     1.22177  0.00634454
          45     1.15049     1.22019  0.00639825
          46     1.23501     1.22051  0.00626727
          47     1.20518     1.22018   0.0061424
          48     1.26495     1.22111  0.00608484
          49     1.22422     1.22118  0.00596099
          50     1.19966     1.22075  0.00585729
          51      1.1974     1.22029   0.0057603
          52     1.19935     1.21989  0.00566358
          53     1.30638     1.22152  0.00578707
          54     1.26504     1.22232  0.00573575
          55     1.35083     1.22466  0.00608876
          56     1.30674     1.22613  0.00615393
          57     1.19354     1.22556  0.00607246
          58      1.2313     1.22565  0.00596857
          59     1.26435     1.22631  0.00590333
          60     1.28179     1.22724  0.00587692
          61     1.17332     1.22635  0.00584665
          62     1.20914     1.22607  0.00575893
          63     1.25825     1.22658  0.00569012
          64     1.12064     1.22493  0.00583705
          65     1.22595     1.22494  0.00574727
          66     1.22878       1.225  0.00566048
          67     1.28353     1.22588  0.00564301
          68     1.26847      1.2265  0.00559467
          69     1.21695     1.22636   0.0055153
          70     1.21087     1.22614  0.00544095
          71       1.157     1.22517  0.00545078
          72     1.19964     1.22481  0.00538659
          73     1.29411     1.22576  0.00539581
          74     1.29319     1.22668  0.00539928
          75     1.16774     1.22589  0.00538416
          76     1.19327     1.22546   0.0053304
          77     1.23473     1.22558  0.00526253
          78     1.22412     1.22556   0.0051951
          79     1.20535     1.22531  0.00513563
          80     1.35139     1.22688  0.00530776
          81     1.27563     1.22748  0.00527624
          82       1.372     1.22925  0.00549837
          83     1.13474     1.22811  0.00554876
          84     1.20012     1.22777  0.00549269
          85      1.3143     1.22879  0.00552158
          86     1.22878     1.22879  0.00545738
          87     1.28415     1.22943  0.00543162
          88     1.33002     1.23057  0.00548886
          89     1.22235     1.23048  0.00542796
          90     1.18871     1.23002  0.00538745
          91     1.15964     1.22924  0.00538347
          92      1.1013     1.22785  0.00550163
          93     1.25981     1.22819   0.0054532
          94     1.21513     1.22806  0.00539696
          95     1.36517      1.2295  0.00552977
          96     1.19347     1.22912   0.0054849
          97      1.2615     1.22946  0.00543849
          98     1.27392     1.22991  0.00540189
          99     1.16221     1.22923  0.00539044
         100       1.269     1.22963  0.00535119
