#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           7     1.29636    0.236811   0.0433932
           7     1.53206    0.280439   0.0489865
           7     1.76777    0.435699   0.0925836
           7     2.00347    0.534921   0.0822188
           7     2.23917    0.754116    0.119288
           7     2.47487     1.03168    0.295254
           7     2.71058    0.678579    0.086309
           7     2.94628    0.510286   0.0619337
           7     3.18198    0.292624   0.0450481
           7     3.41768    0.257937   0.0441729
           7     3.65339    0.158831   0.0234983
           7     3.88909    0.115313   0.0153158
           7     4.12479   0.0804855   0.0148024
           7     4.36049   0.0386399  0.00851632
           7     4.59619    0.019141  0.00854404
           7      4.8319   0.0237706  0.00930156
           7      5.0676   0.0222611  0.00708069
           7      5.3033  0.00581232  0.00224997
           7       5.539           0           0
           7     5.77471           0           0
           7     6.01041           0           0
           7     6.24611           0           0
           7     6.48181           0           0
           7     6.71751           0           0
           7     6.95322           0           0
           8    0.117851   0.0053445  0.00270518
           8    0.353553   0.0176879  0.00433719
           8    0.589256   0.0485022   0.0115788
           8    0.824958    0.117661   0.0182065
           8     1.06066    0.237977   0.0296071
           8     1.29636    0.248788   0.0395874
           8     1.53206    0.299864   0.0465555
           8     1.76777    0.465768   0.0857547
           8     2.00347     0.52837   0.0722019
           8     2.23917      0.7202    0.109092
           8     2.47487    0.964563    0.265867
           8     2.71058    0.636125   0.0853253
           8     2.94628    0.517402   0.0545993
           8     3.18198    0.314713   0.0445044
           8     3.41768     0.26124   0.0387746
           8     3.65339    0.170316   0.0231984
           8     3.88909    0.129242    0.018691
           8     4.12479   0.0879902   0.0147322
           8     4.36049   0.0388617  0.00745466
           8     4.59619   0.0250408  0.00929238
           8      4.8319   0.0218137  0.00834217
           8      5.0676   0.0195806  0.00668375
           8      5.3033  0.00530365  0.00202541
           8       5.539           0           0
           8     5.77471           0           0
           8     6.01041           0           0
           8     6.24611           0           0
           8     6.48181           0           0
           8     6.71751           0           0
           8     6.95322           0           0
           9    0.117851  0.00735294  0.00306068
           9    0.353553   0.0244856  0.00747913
           9    0.589256   0.0539518   0.0115034
           9    0.824958    0.118821   0.0162205
           9     1.06066     0.24344   0.0268168
           9     1.29636    0.264113   0.0380395
           9     1.53206    0.311238   0.0427496
           9     1.76777     0.48035   0.0774562
           9     2.00347    0.525218   0.0642483
           9     2.23917    0.693779    0.100119
           9     2.47487    0.911535    0.241557
           9     2.71058    0.633164   0.0758961
           9     2.94628    0.504611   0.0500084
           9     3.18198    0.325121   0.0407584
           9     3.41768    0.260615   0.0344714
           9     3.65339    0.175327   0.0211551
           9     3.88909    0.133261   0.0170409
           9     4.12479   0.0993706   0.0169295
           9     4.36049   0.0395969  0.00666253
           9     4.59619   0.0266521  0.00839843
           9      4.8319   0.0213326  0.00742913
           9      5.0676   0.0218168  0.00630409
           9      5.3033  0.00648148  0.00211529
           9       5.539 0.000720165 0.000678978
           9     5.77471           0           0
           9     6.01041           0           0
           9     6.24611           0           0
           9     6.48181           0           0
           9     6.71751           0           0
           9     6.95322           0           0
          10    0.117851  0.00676471  0.00281057
          10    0.353553   0.0268682  0.00710059
          10    0.589256   0.0546133   0.0103721
          10    0.824958    0.127576   0.0167959
          10     1.06066    0.251645   0.0253593
          10     1.29636    0.281874   0.0381572
          10     1.53206    0.327184   0.0413418
          10     1.76777    0.470098   0.0703858
          10     2.00347    0.518214    0.058204
          10     2.23917     0.68829   0.0902574
          10     2.47487    0.885202    0.218832
          10     2.71058    0.620458    0.069362
          10     2.94628    0.491487   0.0466981
          10     3.18198    0.323268   0.0367247
          10     3.41768    0.255632   0.0313823
          10     3.65339    0.182397   0.0201863
          10     3.88909    0.143475   0.0181415
          10     4.12479   0.0989815   0.0152411
          10     4.36049   0.0435948  0.00709505
          10     4.59619   0.0275817  0.00760986
          10      4.8319   0.0219336  0.00671047
          10      5.0676   0.0266558   0.0072983
          10      5.3033   0.0070915  0.00198978
          10       5.539  0.00147059 0.000938211
          10     5.77471           0           0
          10     6.01041           0           0
          10     6.24611           0           0
          10     6.48181           0           0
          10     6.71751           0           0
          10     6.95322           0           0
          11    0.117851  0.00623391  0.00260471
          11    0.353553   0.0257031  0.00654997
          11    0.589256   0.0550703  0.00943924
          11    0.824958    0.138686   0.0185834
          11     1.06066    0.260081   0.0244169
          11     1.29636    0.299762   0.0386549
          11     1.53206    0.339944   0.0395034
          11     1.76777    0.471173   0.0639953
          11     2.00347    0.510121   0.0534724
          11     2.23917    0.687488   0.0820558
          11     2.47487    0.864726    0.199894
          11     2.71058    0.603516   0.0650925
          11     2.94628    0.470984   0.0467373
          11     3.18198    0.315389   0.0342208
          11     3.41768    0.261359   0.0290472
          11     3.65339    0.182501   0.0183515
          11     3.88909    0.151327    0.018112
          11     4.12479   0.0972024    0.013959
          11     4.36049   0.0457566  0.00677138
          11     4.59619   0.0272826  0.00692393
          11      4.8319   0.0285997  0.00880984
          11      5.0676    0.029595  0.00720238
          11      5.3033  0.00819469  0.00209248
          11       5.539  0.00165874 0.000871582
          11     5.77471           0           0
          11     6.01041           0           0
          11     6.24611           0           0
          11     6.48181           0           0
          11     6.71751           0           0
          11     6.95322           0           0
          12    0.117851  0.00571442   0.0024389
          12    0.353553   0.0235612   0.0063447
          12    0.589256   0.0585149  0.00925983
          12    0.824958    0.144867   0.0180334
          12     1.06066    0.267615   0.0235158
          12     1.29636    0.310022   0.0367699
          12     1.53206    0.367574   0.0448454
          12     1.76777    0.471015   0.0586625
          12     2.00347    0.503114   0.0494733
          12     2.23917    0.691176   0.0753007
          12     2.47487     0.83115    0.186034
          12     2.71058     0.57977   0.0638525
          12     2.94628    0.452628   0.0463073
          12     3.18198     0.32416   0.0324736
          12     3.41768    0.262486   0.0266485
          12     3.65339     0.18499   0.0169901
          12     3.88909    0.147953    0.016914
          12     4.12479    0.103068   0.0139739
          12     4.36049   0.0539897   0.0100331
          12     4.59619   0.0277279  0.00636123
          12      4.8319   0.0305556  0.00828995
          12      5.0676   0.0314497  0.00683683
          12      5.3033  0.00772967   0.0019691
          12       5.539  0.00152052 0.000809838
          12     5.77471           0           0
          12     6.01041           0           0
          12     6.24611           0           0
          12     6.48181           0           0
          12     6.71751           0           0
          12     6.95322           0           0
          13    0.117851  0.00553461  0.00225791
          13    0.353553   0.0244553  0.00591932
          13    0.589256   0.0687825   0.0130527
          13    0.824958     0.15189   0.0179617
          13     1.06066    0.266625   0.0217277
          13     1.29636    0.311337    0.033965
          13     1.53206    0.400536   0.0521202
          13     1.76777    0.464408   0.0545208
          13     2.00347    0.487598    0.048039
          13     2.23917    0.692144   0.0695145
          13     2.47487    0.815066    0.172418
          13     2.71058    0.561006   0.0616361
          13     2.94628    0.442639   0.0438094
          13     3.18198    0.327342   0.0301311
          13     3.41768    0.258752   0.0248589
          13     3.65339     0.18436   0.0156948
          13     3.88909     0.15008   0.0157461
          13     4.12479    0.100867   0.0130712
          13     4.36049   0.0566323  0.00960304
          13     4.59619   0.0357508  0.00968997
          13      4.8319   0.0324786  0.00787216
          13      5.0676   0.0347159  0.00704807
          13      5.3033  0.00794788  0.00182968
          13       5.539  0.00140355 0.000755942
          13     5.77471           0           0
          13     6.01041           0           0
          13     6.24611           0           0
          13     6.48181           0           0
          13     6.71751           0           0
          13     6.95322           0           0
          14    0.117851  0.00527155   0.0021119
          14    0.353553   0.0312092  0.00851865
          14    0.589256   0.0737434   0.0130291
          14    0.824958    0.159839   0.0183537
          14     1.06066    0.265293   0.0202165
          14     1.29636    0.315659   0.0318127
          14     1.53206    0.411924   0.0496258
          14     1.76777     0.47088   0.0510091
          14     2.00347    0.481026   0.0450549
          14     2.23917    0.689904   0.0645853
          14     2.47487    0.797156     0.16103
          14     2.71058    0.543756   0.0595987
          14     2.94628    0.438072   0.0409174
          14     3.18198    0.322642   0.0283431
          14     3.41768    0.254832   0.0233903
          14     3.65339    0.185423   0.0146097
          14     3.88909    0.150984   0.0146473
          14     4.12479    0.105672   0.0129907
          14     4.36049   0.0590414  0.00921433
          14     4.59619   0.0404606   0.0100777
          14      4.8319   0.0313609  0.00738879
          14      5.0676   0.0343448   0.0065544
          14      5.3033  0.00927093  0.00212415
          14       5.539  0.00270775   0.0014395
          14     5.77471 9.72611e-05 9.37232e-05
          14     6.01041 0.000315126 0.000303663
          14     6.24611 3.11236e-05 2.99914e-05
          14     6.48181 4.66853e-05 4.49871e-05
          14     6.71751    0.001101  0.00106095
          14     6.95322 0.000287893 0.000277421
          15    0.117851  0.00554466  0.00198869
          15    0.353553    0.031841  0.00797414
          15    0.589256   0.0834277   0.0153431
          15    0.824958    0.170084   0.0197838
          15     1.06066    0.265552   0.0188704
          15     1.29636    0.319542   0.0299279
          15     1.53206    0.408755   0.0464186
          15     1.76777    0.473373   0.0476694
          15     2.00347    0.476412   0.0422868
          15     2.23917    0.671703    0.062792
          15     2.47487    0.778319    0.151392
          15     2.71058    0.551057   0.0560708
          15     2.94628    0.439931   0.0382318
          15     3.18198    0.325174   0.0265664
          15     3.41768    0.256641   0.0219008
          15     3.65339    0.183007    0.013834
          15     3.88909    0.152077   0.0137115
          15     4.12479    0.102233   0.0125717
          15     4.36049    0.059419  0.00860778
          15     4.59619   0.0457807   0.0107185
          15      4.8319   0.0338598  0.00730658
          15      5.0676   0.0325599  0.00635584
          15      5.3033   0.0117102  0.00307961
          15       5.539  0.00259622  0.00134785
          15     5.77471 9.07771e-05  8.7699e-05
          15     6.01041 0.000294118 0.000284145
          15     6.24611 2.90487e-05 2.80637e-05
          15     6.48181  4.3573e-05 4.20955e-05
          15     6.71751   0.0010276 0.000992752
          15     6.95322   0.0002687 0.000259589
          16    0.117851  0.00519812  0.00189435
          16    0.353553   0.0340754  0.00778253
          16    0.589256   0.0844193   0.0144162
          16    0.824958     0.17339   0.0188215
          16     1.06066    0.269533   0.0181061
          16     1.29636    0.322215   0.0281765
          16     1.53206    0.407676   0.0435299
          16     1.76777    0.475477   0.0447364
          16     2.00347    0.469649   0.0401812
          16     2.23917    0.663875   0.0593534
          16     2.47487    0.771865    0.142068
          16     2.71058    0.552267   0.0525795
          16     2.94628    0.435018   0.0361566
          16     3.18198    0.325398   0.0249069
          16     3.41768    0.262677   0.0213475
          16     3.65339    0.186601   0.0134283
          16     3.88909    0.155344   0.0132382
          16     4.12479   0.0986486   0.0122864
          16     4.36049   0.0588303   0.0080899
          16     4.59619   0.0447815    0.010095
          16      4.8319   0.0361077  0.00718738
          16      5.0676    0.033415  0.00601585
          16      5.3033   0.0117749  0.00288781
          16       5.539  0.00247141  0.00126937
          16     5.77471 8.51035e-05 8.24011e-05
          16     6.01041 0.000275735  0.00026698
          16     6.24611 2.72331e-05 2.63684e-05
          16     6.48181 4.08497e-05 3.95525e-05
          16     6.71751 0.000963371  0.00093278
          16     6.95322 0.000251906 0.000243907
          17    0.117851  0.00489235  0.00180742
          17    0.353553   0.0326125  0.00746097
          17    0.589256   0.0834262   0.0136023
          17    0.824958    0.169829   0.0180481
          17     1.06066    0.273042   0.0173778
          17     1.29636    0.333035    0.028521
          17     1.53206    0.414302   0.0414706
          17     1.76777    0.480908   0.0424333
          17     2.00347    0.466209   0.0379646
          17     2.23917    0.658506   0.0561043
          17     2.47487    0.752172    0.135069
          17     2.71058    0.555325   0.0495754
          17     2.94628    0.437851   0.0341405
          17     3.18198    0.325397   0.0234418
          17     3.41768    0.258634    0.020471
          17     3.65339    0.189773   0.0130077
          17     3.88909    0.160486   0.0134209
          17     4.12479   0.0966872   0.0117191
          17     4.36049    0.058564   0.0076184
          17     4.59619   0.0429002  0.00967491
          17      4.8319   0.0345476  0.00693184
          17      5.0676   0.0382962  0.00738119
          17      5.3033   0.0110823  0.00279978
          17       5.539  0.00232603    0.001203
          17     5.77471 8.00974e-05 7.77059e-05
          17     6.01041 0.000259516 0.000251767
          17     6.24611 2.56312e-05 2.48659e-05
          17     6.48181 3.84468e-05 3.72988e-05
          17     6.71751 0.000906703 0.000879631
          17     6.95322 0.000237088 0.000230009
          18    0.117851  0.00505628  0.00171443
          18    0.353553   0.0372942  0.00838774
          18    0.589256   0.0845558   0.0128935
          18    0.824958    0.166624   0.0173276
          18     1.06066    0.273672   0.0164237
          18     1.29636     0.34167   0.0282132
          18     1.53206    0.415133   0.0391749
          18     1.76777    0.481736   0.0400839
          18     2.00347    0.465608   0.0358602
          18     2.23917    0.648354   0.0538981
          18     2.47487    0.746711    0.127675
          18     2.71058    0.555153   0.0468215
          18     2.94628    0.438214   0.0322457
          18     3.18198    0.331736   0.0229804
          18     3.41768    0.260576   0.0194255
          18     3.65339    0.188907   0.0123138
          18     3.88909     0.15466   0.0138826
          18     4.12479   0.0939875   0.0113748
          18     4.36049   0.0579339  0.00722117
          18     4.59619   0.0422749   0.0091576
          18      4.8319    0.033176  0.00668107
          18      5.0676   0.0399873  0.00716223
          18      5.3033   0.0122367  0.00287241
