#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.71824    -0.71824           0
           2    -0.71538    -0.71681  0.00101116
           3     -0.7218   -0.718473   0.0015162
           4    -0.71946    -0.71872  0.00115704
           5     -0.7282   -0.720616  0.00193201
           6    -0.72848   -0.721927  0.00200591
           7    -0.72062    -0.72174  0.00172801
           8    -0.72144   -0.721703  0.00151242
           9     -0.7233    -0.72188  0.00135475
          10     -0.7182   -0.721512  0.00126827
          11    -0.71564   -0.720978  0.00126032
          12    -0.72238   -0.721095  0.00116069
          13    -0.72184   -0.721152  0.00107282
          14    -0.72644    -0.72153  0.00106059
          15    -0.71602   -0.721163  0.00105158
          16    -0.71666   -0.720881  0.00102282
          17    -0.72082   -0.720878 0.000962658
          18    -0.72434    -0.72107 0.000928195
          19    -0.72082   -0.721057 0.000879436
          20     -0.7243   -0.721219 0.000850283
          21     -0.7203   -0.721175 0.000810919
          22     -0.7176   -0.721013 0.000790175
          23    -0.72696   -0.721271 0.000797006
          24    -0.72074   -0.721249 0.000764104
          25    -0.72618   -0.721446 0.000758569
          26    -0.71866   -0.721339 0.000736924
          27     -0.7175   -0.721197 0.000723219
          28    -0.71922   -0.721126 0.000700828
          29     -0.7226   -0.721177 0.000678501
          30    -0.71536   -0.720983 0.000683031
          31     -0.7245   -0.721097 0.000670352
          32     -0.7169   -0.720966 0.000662109
          33     -0.7237   -0.721048 0.000647209
          34    -0.72042    -0.72103 0.000628437
          35    -0.72354   -0.721102  0.00061456
          36    -0.71518   -0.720937 0.000619111
          37    -0.72234   -0.720975 0.000603538
          38    -0.71778   -0.720891 0.000593484
          39    -0.71558   -0.720755 0.000593685
          40     -0.7234   -0.720821 0.000582514
          41    -0.71798   -0.720752 0.000572413
          42     -0.7186     -0.7207 0.000561072
          43    -0.72084   -0.720704 0.000548033
          44    -0.72396   -0.720778 0.000540552
          45    -0.71622   -0.720676 0.000537944
          46     -0.7217   -0.720699  0.00052671
          47    -0.71782   -0.720637 0.000519052
          48     -0.7194   -0.720612 0.000508878
          49    -0.72354   -0.720671  0.00050199
          50    -0.71988   -0.720656   0.0004922
          51    -0.72666   -0.720773  0.00049643
          52    -0.72082   -0.720774 0.000486884
          53    -0.71762   -0.720715 0.000481321
          54    -0.72338   -0.720764 0.000474932
          55    -0.71764   -0.720707 0.000469681
          56    -0.72214   -0.720733  0.00046199
          57    -0.72504   -0.720808 0.000460023
          58    -0.71632   -0.720731 0.000458555
          59    -0.71906   -0.720703 0.000451656
          60    -0.72248   -0.720732 0.000445099
          61    -0.71942   -0.720711 0.000438322
          62    -0.73356   -0.720918 0.000477741
          63    -0.72228    -0.72094 0.000470646
          64    -0.72196   -0.720956 0.000463562
          65    -0.71908   -0.720927 0.000457328
          66     -0.7168   -0.720864 0.000454653
          67    -0.71582   -0.720789 0.000454058
          68    -0.71734   -0.720738 0.000450204
          69    -0.72298   -0.720771 0.000444851
          70    -0.72394   -0.720816 0.000440793
          71    -0.72442   -0.720867 0.000437498
          72    -0.72162   -0.720877 0.000431547
          73    -0.72646   -0.720954 0.000432358
          74    -0.71558   -0.720881 0.000432571
          75    -0.72152    -0.72089 0.000426887
          76     -0.7158   -0.720823 0.000426491
          77    -0.72426   -0.720867 0.000423282
          78    -0.72178   -0.720879 0.000418017
          79    -0.72024   -0.720871 0.000412804
          80    -0.72826   -0.720963 0.000417849
          81    -0.71606   -0.720903 0.000417052
          82    -0.71694   -0.720854 0.000414757
          83    -0.72026   -0.720847 0.000409821
          84    -0.71888   -0.720824 0.000405611
          85    -0.72232   -0.720841 0.000401221
          86    -0.71652   -0.720791  0.00039969
          87    -0.71784   -0.720757 0.000396533
          88    -0.72172   -0.720768 0.000392177
          89    -0.72014   -0.720761 0.000387834
          90    -0.72072   -0.720761 0.000383525
          91    -0.72526    -0.72081 0.000382485
          92    -0.72124   -0.720815 0.000378356
          93    -0.72102   -0.720817 0.000374294
          94    -0.72478   -0.720859 0.000372679
          95     -0.7201   -0.720851 0.000368842
          96    -0.72004   -0.720843 0.000365096
          97    -0.72298   -0.720865 0.000361997
          98    -0.72076   -0.720864 0.000358304
          99    -0.71924   -0.720847  0.00035506
         100     -0.7198   -0.720837 0.000351664
