#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.44388    -0.44388           0
           2    -0.44364    -0.44376 8.48528e-05
           3     -0.4391   -0.442207  0.00126955
           4    -0.44876   -0.443845  0.00170872
           5    -0.44116   -0.443308   0.0014489
           6    -0.44356    -0.44335  0.00120803
           7    -0.44254   -0.443234  0.00104098
           8    -0.43628   -0.442365  0.00122101
           9    -0.44342   -0.442482  0.00109095
          10    -0.43928   -0.442162  0.00102778
          11    -0.44528   -0.442445 0.000972648
          12    -0.44124   -0.442345 0.000896766
          13    -0.44098    -0.44224 0.000833909
          14     -0.4398   -0.442066 0.000792347
          15    -0.44506   -0.442265 0.000764256
          16    -0.44432   -0.442394 0.000727199
          17    -0.44428   -0.442505 0.000692835
          18    -0.44334   -0.442551 0.000655897
          19    -0.44078   -0.442458 0.000627965
          20    -0.44466   -0.442568 0.000606143
          21    -0.44634   -0.442748 0.000603305
          22    -0.44498   -0.442849 0.000584353
          23    -0.44142   -0.442787  0.00056224
          24    -0.44772   -0.442992 0.000575159
          25    -0.44256   -0.442975 0.000552413
          26    -0.44046   -0.442878  0.00053957
          27    -0.44392   -0.442917 0.000520963
          28    -0.44158   -0.442869 0.000504541
          29      -0.445   -0.442943 0.000492464
          30     -0.4439   -0.442975 0.000477081
          31    -0.44024   -0.442886 0.000469776
          32     -0.4475   -0.443031 0.000476706
          33    -0.44594   -0.443119 0.000470342
          34    -0.44668   -0.443224 0.000468026
          35    -0.44792   -0.443358 0.000473499
          36    -0.44374   -0.443368 0.000460465
          37     -0.4419   -0.443329 0.000449727
          38    -0.44674   -0.443418 0.000446762
          39    -0.44226   -0.443389 0.000436293
          40    -0.44662   -0.443469   0.0004328
          41    -0.44428   -0.443489 0.000422695
          42    -0.44496   -0.443524 0.000414079
          43    -0.44458   -0.443549 0.000405176
          44    -0.44254   -0.443526 0.000396616
          45     -0.4454   -0.443568 0.000389982
          46    -0.44654   -0.443632 0.000386821
          47     -0.4418   -0.443593  0.00038055
          48    -0.43872   -0.443492 0.000385927
          49    -0.44304   -0.443482 0.000378161
          50    -0.44228   -0.443458 0.000371362
          51    -0.44558     -0.4435 0.000366403
          52     -0.4436   -0.443502 0.000359361
          53     -0.4398   -0.443432 0.000359305
          54     -0.4483   -0.443522 0.000363784
          55    -0.44014   -0.443461  0.00036233
          56    -0.44444   -0.443478 0.000356282
          57    -0.44366   -0.443481 0.000350045
          58    -0.44316   -0.443476 0.000344054
          59    -0.44412   -0.443487 0.000338396
          60    -0.44518   -0.443515  0.00033393
          61    -0.44762   -0.443582 0.000335168
          62     -0.4457   -0.443616 0.000331498
          63    -0.44644   -0.443661 0.000329252
          64     -0.4387   -0.443584 0.000333108
          65     -0.4436   -0.443584 0.000327984
          66    -0.44362   -0.443585 0.000323015
          67    -0.44622   -0.443624  0.00032058
          68    -0.44618   -0.443661 0.000318061
          69    -0.44158   -0.443631 0.000314879
          70     -0.4437   -0.443632 0.000310382
          71    -0.44346    -0.44363  0.00030602
          72    -0.44294    -0.44362  0.00030192
          73    -0.44318   -0.443614 0.000297844
          74    -0.44136   -0.443584 0.000295373
          75    -0.44046   -0.443542 0.000294357
          76    -0.44232   -0.443526 0.000290922
          77    -0.44448   -0.443538 0.000287408
          78    -0.44356   -0.443539 0.000283723
          79    -0.43978   -0.443491 0.000284093
          80    -0.44366   -0.443493  0.00028055
          81    -0.44924   -0.443564 0.000285916
          82    -0.44668   -0.443602 0.000284943
          83    -0.44002   -0.443559  0.00028476
          84    -0.44412   -0.443566 0.000281448
          85    -0.44016   -0.443526 0.000280975
          86    -0.43926   -0.443476 0.000282052
          87    -0.44632   -0.443509 0.000280698
          88    -0.44472   -0.443522 0.000277845
          89    -0.44852   -0.443579  0.00028034
          90    -0.44682   -0.443615 0.000279529
          91     -0.4439   -0.443618 0.000276475
          92    -0.44442   -0.443627 0.000273607
          93    -0.44302    -0.44362 0.000270743
          94     -0.4389    -0.44357 0.000272479
          95    -0.44492   -0.443584 0.000269981
          96     -0.4435   -0.443583  0.00026717
          97    -0.43726   -0.443518 0.000272252
          98    -0.44448   -0.443528 0.000269651
          99    -0.44328   -0.443525 0.000266939
         100     -0.4424   -0.443514 0.000264507
