#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.75848    -0.75848           0
           2    -0.76646    -0.76247  0.00282136
           3    -0.75966   -0.761533  0.00203044
           4    -0.76064    -0.76131  0.00153507
           5    -0.76274   -0.761596  0.00125441
           6    -0.76466   -0.762107  0.00114458
           7     -0.7695   -0.763163  0.00138516
           8    -0.75824   -0.762548  0.00134176
           9    -0.75826   -0.762071  0.00127444
          10    -0.75464   -0.761328  0.00134633
          11    -0.76052   -0.761255  0.00122593
          12    -0.76408    -0.76149  0.00114616
          13     -0.7653   -0.761783  0.00109482
          14     -0.7641   -0.761949  0.00102905
          15    -0.75582    -0.76154   0.0010384
          16     -0.7654   -0.761781  0.00100113
          17     -0.7615   -0.761765 0.000942376
          18    -0.76504   -0.761947 0.000907419
          19    -0.76292   -0.761998 0.000861105
          20    -0.76324    -0.76206 0.000820287
          21    -0.76516   -0.762208 0.000794397
          22    -0.75988   -0.762102 0.000765301
          23    -0.76428   -0.762197 0.000737864
          24     -0.7632   -0.762238 0.000708303
          25    -0.77042   -0.762566 0.000751784
          26    -0.76064   -0.762492 0.000726508
          27    -0.75716   -0.762294  0.00072594
          28    -0.76974    -0.76256 0.000747135
          29    -0.76032   -0.762483 0.000725353
          30    -0.76826   -0.762675 0.000726288
          31    -0.76174   -0.762645 0.000703486
          32    -0.75768    -0.76249 0.000698404
          33     -0.7611   -0.762448 0.000678509
          34    -0.76966    -0.76266 0.000690915
          35    -0.75732   -0.762507 0.000687814
          36     -0.7514   -0.762199 0.000734659
          37    -0.76118   -0.762171 0.000715319
          38    -0.76014   -0.762118 0.000698489
          39    -0.75484   -0.761931 0.000705067
          40    -0.76684   -0.762054 0.000698038
          41     -0.7568   -0.761926 0.000692676
          42    -0.76264   -0.761943 0.000676392
          43    -0.75754    -0.76184 0.000668367
          44     -0.7605    -0.76181 0.000653871
          45    -0.76236   -0.761822 0.000639455
          46    -0.76354    -0.76186 0.000626643
          47    -0.76218   -0.761866 0.000613347
          48    -0.76258   -0.761881 0.000600749
          49    -0.76646   -0.761975 0.000595712
          50    -0.75964   -0.761928 0.000585625
          51    -0.76626   -0.762013  0.00058027
          52    -0.76296   -0.762031 0.000569396
          53    -0.75992   -0.761991 0.000560045
          54     -0.7569   -0.761897 0.000557553
          55    -0.76048   -0.761871 0.000548011
          56     -0.7612   -0.761859 0.000538356
          57    -0.77148   -0.762028 0.000554739
          58    -0.76042      -0.762 0.000545867
          59    -0.76032   -0.761972 0.000537358
          60    -0.75996   -0.761938 0.000529447
          61    -0.76176   -0.761935 0.000520775
          62     -0.7678    -0.76203 0.000520895
          63    -0.76214   -0.762032  0.00051263
          64    -0.76156   -0.762024 0.000504673
          65    -0.76102   -0.762009 0.000497145
          66     -0.7591   -0.761965 0.000491563
          67     -0.7631   -0.761982 0.000484518
          68    -0.75792   -0.761922 0.000481061
          69    -0.76372   -0.761948 0.000474794
          70    -0.75892   -0.761905 0.000469978
          71    -0.77148    -0.76204  0.00048232
          72    -0.76358   -0.762061 0.000476095
          73     -0.7656    -0.76211 0.000472035
          74     -0.7577    -0.76205 0.000469402
          75      -0.767   -0.762116  0.00046776
          76     -0.7584   -0.762067 0.000464154
          77    -0.76374   -0.762089 0.000458634
          78    -0.76234   -0.762092 0.000452766
          79    -0.76468   -0.762125 0.000448218
          80     -0.7718   -0.762246 0.000458641
          81    -0.75784   -0.762191 0.000456193
          82    -0.76454    -0.76222 0.000451528
          83    -0.75856   -0.762176 0.000448236
          84    -0.76048   -0.762156 0.000443354
          85    -0.76138   -0.762147 0.000438232
          86    -0.75488   -0.762062 0.000441207
          87    -0.76236   -0.762066 0.000436149
          88    -0.76534   -0.762103 0.000432777
          89     -0.7616   -0.762097 0.000427951
          90    -0.76052    -0.76208 0.000423555
          91    -0.76688   -0.762132 0.000422173
          92    -0.75864   -0.762094 0.000419287
          93    -0.76418   -0.762117 0.000415378
          94    -0.76624   -0.762161 0.000413268
          95     -0.7591   -0.762128 0.000410172
          96    -0.76052   -0.762112 0.000406241
          97    -0.76338   -0.762125 0.000402264
          98    -0.76418   -0.762146 0.000398705
          99    -0.76084   -0.762133 0.000394896
         100    -0.75936   -0.762105 0.000391919
