#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.58266    -0.58266           0
           2     -0.5862    -0.58443  0.00125158
           3    -0.58278    -0.58388 0.000947558
           4     -0.5857   -0.584335   0.0008126
           5    -0.58362   -0.584192 0.000662543
           6    -0.58384   -0.584133  0.00055471
           7      -0.578   -0.583257 0.000940269
           8     -0.5806   -0.582925 0.000879444
           9    -0.58304   -0.582938 0.000781821
          10    -0.58158   -0.582802 0.000715332
          11    -0.57986   -0.582535 0.000698514
          12    -0.58392    -0.58265 0.000649776
          13     -0.5803   -0.582469 0.000624432
          14    -0.58474   -0.582631 0.000600526
          15    -0.58388   -0.582715  0.00056623
          16    -0.58466   -0.582836 0.000543738
          17    -0.58472   -0.582947 0.000522922
          18    -0.58662   -0.583151 0.000532196
          19    -0.58448   -0.583221 0.000508761
          20     -0.5852    -0.58332 0.000492851
          21     -0.5812   -0.583219  0.00047961
          22    -0.58736   -0.583407 0.000493363
          23    -0.58438    -0.58345 0.000473722
          24    -0.58108   -0.583351 0.000464158
          25    -0.58046   -0.583235  0.00045977
          26    -0.58178   -0.583179  0.00044548
          27    -0.58106   -0.583101 0.000435841
          28    -0.58304   -0.583099  0.00042028
          29     -0.5835   -0.583112 0.000406016
          30    -0.58456   -0.583161 0.000395339
          31    -0.58424   -0.583195 0.000384116
          32    -0.58264   -0.583178 0.000372505
          33    -0.58508   -0.583236 0.000365648
          34    -0.58242   -0.583212  0.00035568
          35     -0.5862   -0.583297 0.000355617
          36    -0.57942   -0.583189 0.000361679
          37    -0.58448   -0.583224 0.000353582
          38     -0.5849   -0.583268 0.000347016
          39    -0.57702   -0.583108 0.000373276
          40    -0.58538   -0.583165  0.00036824
          41    -0.58468   -0.583202 0.000361107
          42    -0.58676   -0.583287  0.00036231
          43     -0.5753   -0.583101  0.00039866
          44    -0.57636   -0.582948 0.000418002
          45    -0.58306    -0.58295 0.000408721
          46    -0.58796   -0.583059 0.000414091
          47    -0.58268   -0.583051 0.000405359
          48    -0.58436   -0.583078  0.00039783
          49     -0.5813   -0.583042 0.000391363
          50    -0.58282   -0.583038 0.000383561
          51    -0.58398   -0.583056 0.000376485
          52    -0.58182   -0.583032 0.000369995
          53    -0.58202   -0.583013 0.000363506
          54    -0.58196   -0.582994 0.000357298
          55    -0.58382   -0.583009 0.000351117
          56    -0.58286   -0.583006 0.000344857
          57    -0.58494    -0.58304 0.000340472
          58    -0.58456   -0.583066 0.000335609
          59    -0.58098   -0.583031 0.000331778
          60    -0.58268   -0.583025   0.0003263
          61    -0.58386   -0.583039 0.000321238
          62    -0.58036   -0.582995 0.000318949
          63    -0.58278   -0.582992 0.000313904
          64    -0.57812   -0.582916 0.000318097
          65    -0.57974   -0.582867 0.000316933
          66    -0.58582   -0.582912 0.000315273
          67    -0.57952   -0.582861 0.000314606
          68    -0.58048   -0.582826 0.000311922
          69    -0.58392   -0.582842 0.000307804
          70    -0.58702   -0.582902 0.000309139
          71     -0.5825   -0.582896 0.000304837
          72    -0.57998   -0.582856 0.000303282
          73    -0.58312   -0.582859 0.000299149
          74    -0.58012   -0.582822 0.000297388
          75     -0.5813   -0.582802 0.000294114
          76     -0.5809   -0.582777 0.000291307
          77    -0.58366   -0.582788 0.000287749
          78    -0.58046   -0.582758 0.000285604
          79      -0.585   -0.582787 0.000283395
          80     -0.5821   -0.582778 0.000279983
          81    -0.58028   -0.582747  0.00027822
          82    -0.58624    -0.58279 0.000278068
          83    -0.57692   -0.582719 0.000283569
          84    -0.58238   -0.582715 0.000280222
          85    -0.57962   -0.582679 0.000279281
          86    -0.58592   -0.582717 0.000278565
          87    -0.58632   -0.582758 0.000278425
          88    -0.58148   -0.582743  0.00027564
          89    -0.58548   -0.582774 0.000274252
          90    -0.58266   -0.582773 0.000271208
          91    -0.58588   -0.582807 0.000270369
          92    -0.57734   -0.582748 0.000273882
          93    -0.58316   -0.582752 0.000270973
          94    -0.58314   -0.582756 0.000268122
          95    -0.58508   -0.582781 0.000266413
          96    -0.58158   -0.582768 0.000263931
          97    -0.58072   -0.582747 0.000262054
          98    -0.58268   -0.582746 0.000259381
          99    -0.57668   -0.582685 0.000263899
         100    -0.57954   -0.582654 0.000263128
