#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.84974    -0.84974           0
           2    -0.85102    -0.85038 0.000452548
           3    -0.85044     -0.8504 0.000302141
           4    -0.85568    -0.85172   0.0011654
           5    -0.84214   -0.849804  0.00195091
           6    -0.84788   -0.849483   0.0016519
           7    -0.85114    -0.84972  0.00143277
           8    -0.84608   -0.849265  0.00132395
           9    -0.85118   -0.849478  0.00119382
          10    -0.83938   -0.848468  0.00143948
          11      -0.842    -0.84788  0.00142366
          12    -0.85516   -0.848487  0.00142844
          13    -0.85208   -0.848763  0.00134504
          14    -0.84734   -0.848661   0.0012528
          15    -0.84554   -0.848453  0.00118644
          16    -0.85238   -0.848699  0.00113738
          17     -0.8457   -0.848522  0.00108407
          18    -0.85108   -0.848664  0.00103312
          19    -0.85138   -0.848807 0.000988578
          20    -0.85796   -0.849265  0.00103969
          21    -0.84794   -0.849202 0.000992094
          22    -0.85442   -0.849439 0.000974939
          23     -0.8495   -0.849442 0.000932554
          24    -0.84678   -0.849331 0.000900268
          25    -0.85554   -0.849579 0.000897864
          26    -0.84616   -0.849448 0.000872909
          27    -0.84624   -0.849329 0.000848625
          28    -0.85218   -0.849431 0.000824403
          29     -0.8616    -0.84985 0.000896434
          30    -0.85498   -0.850021  0.00088271
          31    -0.85232   -0.850095 0.000857344
          32    -0.84812   -0.850034 0.000832772
          33    -0.84974   -0.850025 0.000807584
          34    -0.85468   -0.850162 0.000795353
          35     -0.8442   -0.849991 0.000790658
          36    -0.84586   -0.849877  0.00077698
          37    -0.84094   -0.849635 0.000792633
          38    -0.84418   -0.849492 0.000784666
          39    -0.84882   -0.849474 0.000764736
          40    -0.85834   -0.849696 0.000777072
          41    -0.83834   -0.849419 0.000805971
          42    -0.85592   -0.849574 0.000801507
          43    -0.84726    -0.84952 0.000784671
          44    -0.84152   -0.849338 0.000787621
          45    -0.84902   -0.849331  0.00077015
          46    -0.85014   -0.849349 0.000753608
          47     -0.8456   -0.849269 0.000741783
          48    -0.84858   -0.849255 0.000726468
          49     -0.8507   -0.849284 0.000712241
          50    -0.84922   -0.849283 0.000697997
          51    -0.84602   -0.849219 0.000687236
          52    -0.84856   -0.849206 0.000674137
          53    -0.85626   -0.849339 0.000674427
          54     -0.8535   -0.849416 0.000666325
          55    -0.84758   -0.849383 0.000655046
          56     -0.8494   -0.849383 0.000643349
          57    -0.84744   -0.849349 0.000632964
          58    -0.84494   -0.849273   0.0006266
          59    -0.84772   -0.849247 0.000616532
          60    -0.84766    -0.84922 0.000606823
          61    -0.84914   -0.849219 0.000596877
          62    -0.85246   -0.849271 0.000589534
          63     -0.8457   -0.849215 0.000582896
          64    -0.84764    -0.84919 0.000574307
          65     -0.8505    -0.84921 0.000565825
          66    -0.84166   -0.849096 0.000568698
          67    -0.84682   -0.849062 0.000561224
          68    -0.84176   -0.848954 0.000563149
          69    -0.84652   -0.848919 0.000556092
          70    -0.85248    -0.84897 0.000550469
          71    -0.85122   -0.849002 0.000543628
          72    -0.84206   -0.848905  0.00054456
          73    -0.85474   -0.848985 0.000542934
          74     -0.8452   -0.848934 0.000538001
          75    -0.84614   -0.848897 0.000532116
          76    -0.84388   -0.848831 0.000529193
          77    -0.84978   -0.848843 0.000522464
          78    -0.86044   -0.848992 0.000536504
          79     -0.8451   -0.848943 0.000531969
          80    -0.85322   -0.848996    0.000528
          81    -0.84554   -0.848953 0.000523202
          82    -0.84586   -0.848916  0.00051818
          83     -0.8495   -0.848923 0.000511985
          84    -0.85122    -0.84895  0.00050662
          85     -0.8475   -0.848933 0.000500947
          86    -0.84544   -0.848892 0.000496765
          87     -0.8511   -0.848918 0.000491703
          88    -0.85306   -0.848965 0.000488364
          89    -0.84828   -0.848957 0.000482937
          90    -0.86014   -0.849081 0.000493297
          91    -0.84686   -0.849057  0.00048848
          92    -0.85392    -0.84911 0.000486022
          93    -0.84888   -0.849107 0.000480802
          94    -0.84838     -0.8491 0.000475749
          95    -0.84738   -0.849081 0.000471085
          96     -0.8467   -0.849057 0.000466831
          97    -0.84976   -0.849064 0.000462075
          98    -0.86034   -0.849179 0.000471468
          99    -0.85088   -0.849196 0.000467019
         100    -0.83952   -0.849099 0.000472266
